SampleName	percent	reads	taxon_id	taxon_name
SAMER_G_Crd_SRR11815241	9.434886	2193601	1224	Proteobacteria
SAMER_G_Crd_SRR11815241	2.737827	636542	4890	Ascomycota
SAMER_G_Crd_SRR11815241	2.492433	579488	1239	Firmicutes
SAMER_G_Crd_SRR11815241	2.428953	564729	201174	Actinobacteria
SAMER_G_Crd_SRR11815241	1.630786	379156	5204	Basidiomycota
SAMER_G_Crd_SRR11815241	0.111321	25882	10239	Viruses
SAMER_G_Crd_SRR11815241	7.602778	1767638	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_G_Crd_SRR11815241	5.439736	1264733	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_G_Crd_SRR11815241	68.121284	15838128	NA	unclassified
SAMER_G_Crd_SRR11815242	10.064555	1547758	1224	Proteobacteria
SAMER_G_Crd_SRR11815242	3.023493	464962	4890	Ascomycota
SAMER_G_Crd_SRR11815242	2.907375	447105	1239	Firmicutes
SAMER_G_Crd_SRR11815242	2.56947	395141	201174	Actinobacteria
SAMER_G_Crd_SRR11815242	1.891301	290850	5204	Basidiomycota
SAMER_G_Crd_SRR11815242	1.097995	168853	1913637	Mucoromycota
SAMER_G_Crd_SRR11815242	0.116203	17870	10239	Viruses
SAMER_G_Crd_SRR11815242	8.102688	1246056	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_G_Crd_SRR11815242	4.858501	747155	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_G_Crd_SRR11815242	65.36842	10052555	NA	unclassified
SAMER_G_Crd_SRR11815243	9.373341	3412412	1224	Proteobacteria
SAMER_G_Crd_SRR11815243	3.042688	1107706	4890	Ascomycota
SAMER_G_Crd_SRR11815243	2.921547	1063604	1239	Firmicutes
SAMER_G_Crd_SRR11815243	2.77613	1010664	201174	Actinobacteria
SAMER_G_Crd_SRR11815243	1.67256	608904	5204	Basidiomycota
SAMER_G_Crd_SRR11815243	1.138136	414344	1913637	Mucoromycota
SAMER_G_Crd_SRR11815243	0.109244	39771	10239	Viruses
SAMER_G_Crd_SRR11815243	7.948026	2893519	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_G_Crd_SRR11815243	4.919067	1790811	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_G_Crd_SRR11815243	66.099268	24063771	NA	unclassified
SAMER_G_Crd_SRR11815244	10.446711	3388102	1224	Proteobacteria
SAMER_G_Crd_SRR11815244	3.183589	1032509	4890	Ascomycota
SAMER_G_Crd_SRR11815244	2.838509	920592	1239	Firmicutes
SAMER_G_Crd_SRR11815244	2.56904	833197	201174	Actinobacteria
SAMER_G_Crd_SRR11815244	2.040544	661794	5204	Basidiomycota
SAMER_G_Crd_SRR11815244	1.1896	385814	1913637	Mucoromycota
SAMER_G_Crd_SRR11815244	0.119054	38612	10239	Viruses
SAMER_G_Crd_SRR11815244	8.549321	2772736	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_G_Crd_SRR11815244	5.168768	1676347	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_G_Crd_SRR11815244	63.894868	20722534	NA	unclassified
SAMER_G_Crd_SRR11815245	9.449575	2712379	1224	Proteobacteria
SAMER_G_Crd_SRR11815245	2.957401	848884	4890	Ascomycota
SAMER_G_Crd_SRR11815245	2.88107	826974	1239	Firmicutes
SAMER_G_Crd_SRR11815245	2.636384	756740	201174	Actinobacteria
SAMER_G_Crd_SRR11815245	1.618407	464543	5204	Basidiomycota
SAMER_G_Crd_SRR11815245	1.069698	307043	1913637	Mucoromycota
SAMER_G_Crd_SRR11815245	0.103631	29746	10239	Viruses
SAMER_G_Crd_SRR11815245	7.965273	2286329	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_G_Crd_SRR11815245	4.750776	1363649	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_G_Crd_SRR11815245	66.567791	19107427	NA	unclassified
SAMER_G_Crd_SRR11815246	9.753969	2701590	1224	Proteobacteria
SAMER_G_Crd_SRR11815246	3.260219	902994	4890	Ascomycota
SAMER_G_Crd_SRR11815246	2.772111	767801	1239	Firmicutes
SAMER_G_Crd_SRR11815246	2.507375	694476	201174	Actinobacteria
SAMER_G_Crd_SRR11815246	1.893991	524585	5204	Basidiomycota
SAMER_G_Crd_SRR11815246	0.099746	27627	10239	Viruses
SAMER_G_Crd_SRR11815246	8.523678	2360832	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_G_Crd_SRR11815246	5.186563	1436540	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_G_Crd_SRR11815246	66.002351	18280896	NA	unclassified
SAMER_G_Crd_SRR11815247	10.591475	2111811	1224	Proteobacteria
SAMER_G_Crd_SRR11815247	3.186805	635410	4890	Ascomycota
SAMER_G_Crd_SRR11815247	2.509276	500319	1239	Firmicutes
SAMER_G_Crd_SRR11815247	2.30496	459581	201174	Actinobacteria
SAMER_G_Crd_SRR11815247	1.82117	363119	5204	Basidiomycota
SAMER_G_Crd_SRR11815247	0.083044	16558	10239	Viruses
SAMER_G_Crd_SRR11815247	8.041059	1603289	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_G_Crd_SRR11815247	4.848772	966786	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_G_Crd_SRR11815247	66.613442	13281908	NA	unclassified
SAMER_G_Crd_SRR11815248	10.180615	3430141	1224	Proteobacteria
SAMER_G_Crd_SRR11815248	3.44811	1161767	4890	Ascomycota
SAMER_G_Crd_SRR11815248	2.816697	949026	1239	Firmicutes
SAMER_G_Crd_SRR11815248	2.581953	869934	201174	Actinobacteria
SAMER_G_Crd_SRR11815248	1.893371	637931	5204	Basidiomycota
SAMER_G_Crd_SRR11815248	0.08822	29724	10239	Viruses
SAMER_G_Crd_SRR11815248	8.681141	2924925	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_G_Crd_SRR11815248	5.539544	1866431	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_G_Crd_SRR11815248	64.770347	21822983	NA	unclassified
SAMER_G_Crd_SRR11815249	10.397907	3153073	1224	Proteobacteria
SAMER_G_Crd_SRR11815249	3.697741	1121307	4890	Ascomycota
SAMER_G_Crd_SRR11815249	2.838616	860785	1239	Firmicutes
SAMER_G_Crd_SRR11815249	2.588791	785028	201174	Actinobacteria
SAMER_G_Crd_SRR11815249	1.852809	561848	5204	Basidiomycota
SAMER_G_Crd_SRR11815249	0.098898	29990	10239	Viruses
SAMER_G_Crd_SRR11815249	9.485481	2876388	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_G_Crd_SRR11815249	5.506377	1669760	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_G_Crd_SRR11815249	63.533378	19265933	NA	unclassified
SAMER_G_Crd_SRR11815250	11.01809	2552530	1224	Proteobacteria
SAMER_G_Crd_SRR11815250	3.720109	861827	4890	Ascomycota
SAMER_G_Crd_SRR11815250	2.716237	629263	1239	Firmicutes
SAMER_G_Crd_SRR11815250	2.41793	560155	201174	Actinobacteria
SAMER_G_Crd_SRR11815250	2.141102	496023	5204	Basidiomycota
SAMER_G_Crd_SRR11815250	1.011753	234390	1913637	Mucoromycota
SAMER_G_Crd_SRR11815250	0.082403	19090	10239	Viruses
SAMER_G_Crd_SRR11815250	9.280585	2150007	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_G_Crd_SRR11815250	4.716288	1092609	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_G_Crd_SRR11815250	62.895507	14570824	NA	unclassified
SAMER_S_Iso_SRR11815252	10.541525	1933066	1224	Proteobacteria
SAMER_S_Iso_SRR11815252	3.240326	594199	4890	Ascomycota
SAMER_S_Iso_SRR11815252	2.354988	431849	201174	Actinobacteria
SAMER_S_Iso_SRR11815252	2.092757	383762	1239	Firmicutes
SAMER_S_Iso_SRR11815252	1.917341	351595	5204	Basidiomycota
SAMER_S_Iso_SRR11815252	1.0938	200577	1913637	Mucoromycota
SAMER_S_Iso_SRR11815252	0.105799	19401	10239	Viruses
SAMER_S_Iso_SRR11815252	9.004429	1651199	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_S_Iso_SRR11815252	4.810572	882145	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_S_Iso_SRR11815252	64.838463	11889839	NA	unclassified
SAMER_S_Iso_SRR11815253	10.398571	3010744	1224	Proteobacteria
SAMER_S_Iso_SRR11815253	3.859821	1117551	4890	Ascomycota
SAMER_S_Iso_SRR11815253	2.611009	755977	201174	Actinobacteria
SAMER_S_Iso_SRR11815253	2.287518	662315	1239	Firmicutes
SAMER_S_Iso_SRR11815253	1.755363	508238	5204	Basidiomycota
SAMER_S_Iso_SRR11815253	1.081402	313103	1913637	Mucoromycota
SAMER_S_Iso_SRR11815253	0.129546	37508	10239	Viruses
SAMER_S_Iso_SRR11815253	9.313743	2696649	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_S_Iso_SRR11815253	4.964709	1437454	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_S_Iso_SRR11815253	63.598317	18413901	NA	unclassified
SAMER_S_Iso_SRR11815254	10.333138	3032016	1224	Proteobacteria
SAMER_S_Iso_SRR11815254	3.503597	1028048	4890	Ascomycota
SAMER_S_Iso_SRR11815254	2.165521	635421	201174	Actinobacteria
SAMER_S_Iso_SRR11815254	1.931138	566647	1239	Firmicutes
SAMER_S_Iso_SRR11815254	1.524999	447475	5204	Basidiomycota
SAMER_S_Iso_SRR11815254	0.076005	22302	10239	Viruses
SAMER_S_Iso_SRR11815254	8.854476	2598137	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_S_Iso_SRR11815254	5.561231	1631812	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_S_Iso_SRR11815254	66.049892	19380784	NA	unclassified
SAMER_S_Iso_SRR11815255	10.061923	2905571	1224	Proteobacteria
SAMER_S_Iso_SRR11815255	3.042581	878603	4890	Ascomycota
SAMER_S_Iso_SRR11815255	2.327352	672067	201174	Actinobacteria
SAMER_S_Iso_SRR11815255	2.312783	667860	1239	Firmicutes
SAMER_S_Iso_SRR11815255	1.731578	500026	5204	Basidiomycota
SAMER_S_Iso_SRR11815255	1.085965	313593	1913637	Mucoromycota
SAMER_S_Iso_SRR11815255	0.081061	23408	10239	Viruses
SAMER_S_Iso_SRR11815255	8.022632	2316687	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_S_Iso_SRR11815255	4.687561	1353622	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_S_Iso_SRR11815255	66.64657	19245459	NA	unclassified
SAMER_S_Iso_SRR11815256	10.693579	1818135	1224	Proteobacteria
SAMER_S_Iso_SRR11815256	3.934457	668941	4890	Ascomycota
SAMER_S_Iso_SRR11815256	2.291885	389669	1239	Firmicutes
SAMER_S_Iso_SRR11815256	2.134975	362991	201174	Actinobacteria
SAMER_S_Iso_SRR11815256	2.002215	340419	5204	Basidiomycota
SAMER_S_Iso_SRR11815256	0.084019	14285	10239	Viruses
SAMER_S_Iso_SRR11815256	10.316162	1753966	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_S_Iso_SRR11815256	5.647837	960252	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_S_Iso_SRR11815256	62.894869	10693460	NA	unclassified
SAMER_S_Iso_SRR11815257	10.604278	2440283	1224	Proteobacteria
SAMER_S_Iso_SRR11815257	3.472607	799125	4890	Ascomycota
SAMER_S_Iso_SRR11815257	2.004367	461250	201174	Actinobacteria
SAMER_S_Iso_SRR11815257	1.993625	458778	5204	Basidiomycota
SAMER_S_Iso_SRR11815257	1.920143	441868	1239	Firmicutes
SAMER_S_Iso_SRR11815257	0.076307	17560	10239	Viruses
SAMER_S_Iso_SRR11815257	8.951553	2059954	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_S_Iso_SRR11815257	4.809	1106659	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_S_Iso_SRR11815257	66.168118	15226773	NA	unclassified
SAMER_S_Iso_SRR11815258	10.365097	3346595	1224	Proteobacteria
SAMER_S_Iso_SRR11815258	3.632918	1172966	4890	Ascomycota
SAMER_S_Iso_SRR11815258	2.19526	708787	1239	Firmicutes
SAMER_S_Iso_SRR11815258	2.192993	708055	201174	Actinobacteria
SAMER_S_Iso_SRR11815258	1.910757	616929	5204	Basidiomycota
SAMER_S_Iso_SRR11815258	0.096469	31147	10239	Viruses
SAMER_S_Iso_SRR11815258	8.333011	2690492	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_S_Iso_SRR11815258	5.386542	1739161	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_S_Iso_SRR11815258	65.88695	21273022	NA	unclassified
SAMER_S_Iso_SRR11815259	11.263374	3352228	1224	Proteobacteria
SAMER_S_Iso_SRR11815259	3.996607	1189478	4890	Ascomycota
SAMER_S_Iso_SRR11815259	2.147459	639131	1239	Firmicutes
SAMER_S_Iso_SRR11815259	2.14345	637938	201174	Actinobacteria
SAMER_S_Iso_SRR11815259	2.10722	627155	5204	Basidiomycota
SAMER_S_Iso_SRR11815259	1.027343	305760	1913637	Mucoromycota
SAMER_S_Iso_SRR11815259	0.078408	23336	10239	Viruses
SAMER_S_Iso_SRR11815259	9.237587	2749309	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_S_Iso_SRR11815259	4.930839	1467526	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_S_Iso_SRR11815259	63.067716	18770340	NA	unclassified
SAMER_S_Iso_SRR11815260	10.046745	2301656	1224	Proteobacteria
SAMER_S_Iso_SRR11815260	3.120373	714861	4890	Ascomycota
SAMER_S_Iso_SRR11815260	2.437053	558316	1239	Firmicutes
SAMER_S_Iso_SRR11815260	1.974026	452239	5204	Basidiomycota
SAMER_S_Iso_SRR11815260	1.818994	416722	201174	Actinobacteria
SAMER_S_Iso_SRR11815260	0.085567	19603	10239	Viruses
SAMER_S_Iso_SRR11815260	7.135848	1634785	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_S_Iso_SRR11815260	4.867031	1115011	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_S_Iso_SRR11815260	68.514359	15696277	NA	unclassified
SAMER_S_Iso_SRR11815263	10.670711	1921582	1224	Proteobacteria
SAMER_S_Iso_SRR11815263	3.906157	703421	4890	Ascomycota
SAMER_S_Iso_SRR11815263	2.479114	446439	201174	Actinobacteria
SAMER_S_Iso_SRR11815263	2.056774	370384	1239	Firmicutes
SAMER_S_Iso_SRR11815263	1.508218	271600	5204	Basidiomycota
SAMER_S_Iso_SRR11815263	0.104326	18787	10239	Viruses
SAMER_S_Iso_SRR11815263	10.169328	1831293	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_S_Iso_SRR11815263	5.553642	1000100	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_S_Iso_SRR11815263	63.55173	11444398	NA	unclassified
SAMER_SRR10806996	11.99076	3649063	1224	Proteobacteria
SAMER_SRR10806996	3.010753	916241	4890	Ascomycota
SAMER_SRR10806996	2.179126	663158	201174	Actinobacteria
SAMER_SRR10806996	1.793115	545686	1239	Firmicutes
SAMER_SRR10806996	1.530775	465850	5204	Basidiomycota
SAMER_SRR10806996	0.053976	16426	10239	Viruses
SAMER_SRR10806996	7.236156	2202128	NA	cannot_be_assigned_to_a_non-viral_phylum
SAMER_SRR10806996	5.027157	1529879	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SAMER_SRR10806996	67.178178	20443861	NA	unclassified
SNITE_G_Crd_SRR11815197	10.250449	2015290	1224	Proteobacteria
SNITE_G_Crd_SRR11815197	4.627684	909826	4890	Ascomycota
SNITE_G_Crd_SRR11815197	2.401114	472071	201174	Actinobacteria
SNITE_G_Crd_SRR11815197	1.548714	304485	1239	Firmicutes
SNITE_G_Crd_SRR11815197	1.533562	301506	5204	Basidiomycota
SNITE_G_Crd_SRR11815197	1.0345	203388	1913637	Mucoromycota
SNITE_G_Crd_SRR11815197	0.177584	34914	10239	Viruses
SNITE_G_Crd_SRR11815197	10.654167	2094663	NA	cannot_be_assigned_to_a_non-viral_phylum
SNITE_G_Crd_SRR11815197	4.974201	977953	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SNITE_G_Crd_SRR11815197	62.798029	12346409	NA	unclassified
SNITE_G_Crd_SRR11815198	9.074401	1868608	1224	Proteobacteria
SNITE_G_Crd_SRR11815198	4.279539	881246	1117	Cyanobacteria
SNITE_G_Crd_SRR11815198	3.923013	807830	201174	Actinobacteria
SNITE_G_Crd_SRR11815198	2.680633	551998	4890	Ascomycota
