Id	SCANC_S_Iso_SRR17648045	SCANC_S_Iso_SRR17648047	SCANC_S_Iso_SRR17648051	SCANC_S_Iso_SRR17648053	SCANC_S_Iso_SRR17648055	SCANC_G_Crd_SRR17648043	SCANC_G_Crd_SRR17648049	SCANC_G_Crd_SRR17648057	SCANC_G_Crd_SRR17648059	SCANC_G_Crd_SRR17648061	norm.SCANC_S_Iso_SRR17648045	norm.SCANC_S_Iso_SRR17648047	norm.SCANC_S_Iso_SRR17648051	norm.SCANC_S_Iso_SRR17648053	norm.SCANC_S_Iso_SRR17648055	norm.SCANC_G_Crd_SRR17648043	norm.SCANC_G_Crd_SRR17648049	norm.SCANC_G_Crd_SRR17648057	norm.SCANC_G_Crd_SRR17648059	norm.SCANC_G_Crd_SRR17648061	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126266738	0	0	0	0	0	0	8	3	19	2	0	0	0	0	0	0	7	3	27	2	3.89	0	8	2.124	1.087	3.132	0.00173639076030798	0.0226960396124849	3.6176	1.2851	2.4422	2.4422	TRUE	1.0303
LOC126266871	7	26	17	27	28	109	196	139	95	46	7	24	19	24	35	75	160	136	137	49	66.46	22	111	4.664	2.221	5.521	3.36944741326266e-08	5.6125953924091e-06	0.2161	0.1225	0.1912	0.1912	TRUE	0.1243
LOC126266940	61	21	47	113	29	198	752	334	124	185	59	20	53	100	36	136	615	326	178	196	171.8	54	290	4.775	2.256	5.108	3.26299187984373e-07	3.48196922553011e-05	0.3336	0.0782	0.2626	0.2626	TRUE	0.4443
LOC126266964	32	24	27	29	20	11	11	11	9	10	31	23	30	26	25	8	9	11	13	11	18.48	27	10	0.442	-1.177	-4.446	8.76348134999535e-06	0.000446643252834278	0	0.3101	0.0583	0.0583	TRUE	0.1098
LOC126266969	118	1100	505	184	80	110	164	64	54	43	114	1034	565	163	99	75	134	62	78	46	237	395	79	0.293	-1.773	-3.899	9.66595619257062e-05	0.00277946123820947	0.565	0.0705	0.418	0.418	TRUE	0.2611
LOC126267091	4	3	3	0	6	10	23	15	12	34	4	3	3	0	7	7	19	15	17	36	11.1	3	19	3.189	1.673	3.651	0.000261012611036154	0.00582477574884505	0.3225	0.4829	0.3686	0.3686	TRUE	0.2602
LOC126267101	112	126	23	121	113	36	39	27	20	30	108	118	26	107	139	25	32	26	29	32	64.23	100	29	0.337	-1.571	-4.71	2.47517492310381e-06	0.000170749567043813	0.1617	0.125	0.1532	0.1532	TRUE	0.6778
LOC126267197	228	802	264	237	122	115	177	116	70	84	219	754	296	210	151	79	145	113	101	89	215.61	326	105	0.422	-1.245	-4.02	5.81488427208722e-05	0.00188212095432321	0.2325	0.0725	0.1915	0.1915	TRUE	1.6749
LOC126267259	212	1157	537	211	227	39	109	58	17	61	204	1087	601	187	280	27	89	57	24	65	262.17	472	52	0.128	-2.968	-6.105	1.02531896961677e-09	2.7731557937238e-07	0.4147	0.0686	0.3134	0.3134	TRUE	0.2621
LOC126267330	45	130	39	32	35	13	49	10	4	8	43	122	44	28	43	9	40	10	6	8	35.37	56	15	0.487	-1.038	-3.292	0.000995790259310216	0.0152536875374826	0.4311	0.186	0.3683	0.3683	TRUE	3.4336
LOC126267332	161	303	146	121	81	52	79	53	72	37	155	285	163	107	100	36	65	52	103	39	110.52	162	59	0.464	-1.109	-3.994	6.5057952951833e-05	0.00204752668057393	0.1702	0.0937	0.1518	0.1518	TRUE	0.5275
LOC126267358	27	31	18	60	33	59	182	228	135	69	26	29	20	53	41	40	149	222	194	73	84.81	34	136	3.241	1.697	4.374	1.21837530999105e-05	0.000566047223100946	0.2739	0.1069	0.232	0.232	TRUE	0.0633
LOC126267420	7	4	15	2	3	137	54	136	93	175	7	4	17	2	4	94	44	133	134	185	62.25	7	118	15.06	3.913	7.767	8.01133566707448e-15	6.07926854869835e-12	0.3369	0.1274	0.2658	0.2658	TRUE	0.3875
LOC126267451	45	227	23	63	14	44	11	12	2	2	43	213	26	56	17	30	9	12	3	2	41.15	71	11	0.351	-1.509	-3.42	0.000626948936368893	0.0110228724827773	0.8674	0.167	0.6676	0.6676	TRUE	1.6682
LOC126267499	2	0	2	5	2	70	0	53	59	40	2	0	2	4	2	48	0	52	85	42	23.79	2	45	10.683	3.417	4.452	8.50536475088537e-06	0.000438395385405069	1.3069	0.2522	0.9052	0.9052	TRUE	0.1008
LOC126267550	403	64	172	2064	147	7403	255	6858	5724	6675	388	60	193	1833	181	5069	209	6692	8225	7072	2992.01	531	5453	3.535	1.822	3.465	0.000530241989160201	0.00971134224792983	1.1285	0.0519	0.8064	1.1285	TRUE	2.2975
LOC126267553	378	3193	360	239	125	65	62	10	33	20	364	3001	403	212	154	45	51	10	47	21	430.79	827	35	0.068	-3.872	-5.301	1.15133870728863e-07	1.45680415791354e-05	0.8793	0.0614	0.6163	0.8793	TRUE	6.7186
