Id	SCANC_S_Iso_SRR17648045	SCANC_S_Iso_SRR17648047	SCANC_S_Iso_SRR17648051	SCANC_S_Iso_SRR17648053	SCANC_S_Iso_SRR17648055	SCANC_G_Crd_SRR17648043	SCANC_G_Crd_SRR17648049	SCANC_G_Crd_SRR17648057	SCANC_G_Crd_SRR17648059	SCANC_G_Crd_SRR17648061	norm.SCANC_S_Iso_SRR17648045	norm.SCANC_S_Iso_SRR17648047	norm.SCANC_S_Iso_SRR17648051	norm.SCANC_S_Iso_SRR17648053	norm.SCANC_S_Iso_SRR17648055	norm.SCANC_G_Crd_SRR17648043	norm.SCANC_G_Crd_SRR17648049	norm.SCANC_G_Crd_SRR17648057	norm.SCANC_G_Crd_SRR17648059	norm.SCANC_G_Crd_SRR17648061	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126355499	1060	1440	1716	1444	2019	82	257	73	95	101	1020	1353	1921	1282	2492	56	210	71	137	107	865.02	1614	116	0.078	-3.679	-10.502	8.41276062302961e-26	2.87274743374904e-22	0.1998	0.0558	0.1524	0.1524	TRUE	0.2653
LOC126337054	3755	4148	3802	3003	3904	779	1229	423	560	553	3613	3899	4256	2667	4820	533	1005	413	805	586	2259.59	3851	668	0.178	-2.486	-9.997	1.56812694616557e-23	2.67738074470945e-20	0.0828	0.0524	0.0758	0.0758	TRUE	0.3233
LOC126335616	255	82	193	110	125	8	2	0	3	9	245	77	216	98	154	5	2	0	4	10	81.14	158	4	0.033	-4.915	-9.562	1.15006209435055e-21	1.74541090519269e-18	0.3394	0.1094	0.2429	0.2429	TRUE	0.1654
LOC126272884	640	386	486	446	483	243	195	148	92	156	616	363	544	396	596	166	160	144	132	165	328.27	503	153	0.314	-1.67	-9.166	4.89420755576741e-20	6.07727100038428e-17	0.032	0.0649	0.0374	0.0374	TRUE	0.068
LOC126267249	765	879	637	823	560	642	563	417	274	397	736	826	713	731	691	440	461	407	394	421	581.88	739	425	0.584	-0.775	-8.807	1.28536507521115e-18	1.46306679685909e-15	0.0026	0.0585	0.008	0.008	TRUE	0.0523
LOC126273451	396	360	368	511	347	265	211	207	156	148	381	338	412	454	428	181	173	202	224	157	295.04	403	187	0.483	-1.051	-8.001	1.23101220993744e-15	9.89082104443267e-13	0.0111	0.0665	0.0192	0.0192	TRUE	0.115
LOC126353962	283	421	198	460	405	17	11	47	3	1	272	396	222	408	500	12	9	46	4	1	187	360	14	0.052	-4.257	-7.59	3.21012130277263e-14	2.30773930918797e-11	0.6249	0.0759	0.4123	0.4123	TRUE	1.285
LOC126272485	49	39	24	79	43	0	3	5	0	3	47	37	27	70	53	0	2	5	0	3	24.44	47	2	0.057	-4.133	-7.526	5.2479726094314e-14	3.58410289361118e-11	0.1472	0.2467	0.1882	0.1882	TRUE	0.2898
LOC126325841	28	52	35	41	21	8	5	3	1	2	27	49	39	36	26	5	4	3	1	2	19.34	35	3	0.109	-3.192	-7.265	3.7190628366503e-13	2.03194717143226e-10	0	0.2986	0.1054	0.1054	TRUE	0.1964
LOC126334878	4857	30017	211	76100	87843	78	592	83	117	147	4673	28212	236	67576	108443	53	484	81	168	156	21008.3	41828	188	0.012	-6.326	-6.9	5.208202230849e-12	2.2948011055215e-09	1.5298	0.0505	1.0284	1.5298	TRUE	0.0911
