Id	SCANC_S_Iso_SRR17648045	SCANC_S_Iso_SRR17648047	SCANC_S_Iso_SRR17648051	SCANC_S_Iso_SRR17648053	SCANC_S_Iso_SRR17648055	SCANC_G_Crd_SRR17648043	SCANC_G_Crd_SRR17648049	SCANC_G_Crd_SRR17648057	SCANC_G_Crd_SRR17648059	SCANC_G_Crd_SRR17648061	norm.SCANC_S_Iso_SRR17648045	norm.SCANC_S_Iso_SRR17648047	norm.SCANC_S_Iso_SRR17648051	norm.SCANC_S_Iso_SRR17648053	norm.SCANC_S_Iso_SRR17648055	norm.SCANC_G_Crd_SRR17648043	norm.SCANC_G_Crd_SRR17648049	norm.SCANC_G_Crd_SRR17648057	norm.SCANC_G_Crd_SRR17648059	norm.SCANC_G_Crd_SRR17648061	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126355490	134	108	196	209	162	1233	1611	1140	1196	1369	129	102	219	186	200	844	1318	1112	1718	1450	727.87	167	1288	7.471	2.901	11.564	6.2824022382343e-31	8.58113321720424e-27	0.0797	0.0568	0.0746	0.0746	TRUE	0.0855
LOC126292017	4	7	5	0	1	141	275	275	269	124	4	7	6	0	1	97	225	268	387	131	112.5	4	222	48.979	5.614	10.535	5.93467232828911e-26	2.87274743374904e-22	0.3522	0.0929	0.2397	0.2397	TRUE	0.132
LOC126336183	73	107	115	159	130	1142	808	661	362	916	70	101	129	141	160	782	661	645	520	970	417.97	120	716	5.809	2.538	10.527	6.49260486103832e-26	2.87274743374904e-22	0.0655	0.0617	0.067	0.067	TRUE	0.1802
LOC126272892	19	30	29	45	18	1034	178	591	662	512	18	28	32	40	22	708	146	577	951	542	306.5	28	585	18.288	4.193	10.438	1.67148237878012e-25	4.56615556235154e-22	0.2384	0.0659	0.1915	0.1915	TRUE	0.1021
LOC126297459	50	57	38	82	49	320	483	232	194	284	48	54	43	73	60	219	395	226	279	301	169.77	56	284	4.997	2.321	10.309	6.43910610603427e-25	1.4658625050387e-21	0.0452	0.0785	0.0516	0.0516	TRUE	0.2196
LOC126271867	64	91	33	63	50	623	1107	298	531	720	62	86	37	56	62	427	906	291	763	763	345.04	61	630	9.793	3.292	10.238	1.33374248959513e-24	2.60251266648283e-21	0.1404	0.0642	0.1217	0.1217	TRUE	0.0681
LOC126291788	15	2	20	24	8	499	392	202	115	492	14	2	22	21	10	342	321	197	165	521	161.58	14	309	18.939	4.243	9.496	2.17623752703954e-21	2.9725228381833e-18	0.3106	0.08	0.2276	0.2276	TRUE	0.1796
LOC126336463	856	890	715	1091	738	2051	1901	1715	1231	1678	824	836	800	969	911	1404	1555	1673	1769	1778	1251.97	868	1636	1.84	0.88	8.791	1.47805414651709e-18	1.55298012209823e-15	0.0068	0.0541	0.0121	0.0121	TRUE	0.0784
LOC126268224	5	45	44	21	32	451	566	364	284	287	5	42	49	19	40	309	463	355	408	304	199.36	31	368	10.798	3.433	8.568	1.04848430215685e-17	1.02294622022575e-14	0.2527	0.0743	0.1917	0.1917	TRUE	0.7643
LOC126336468	164	136	123	159	71	612	474	427	266	267	158	128	138	141	88	419	388	417	382	283	254.06	131	378	2.782	1.476	8.403	4.36425021674757e-17	3.97408624737034e-14	0.0269	0.0692	0.0346	0.0346	TRUE	0.3259
LOC126292016	4	3	4	5	1	48	105	105	122	49	4	3	4	4	1	33	86	102	175	52	46.52	3	90	20.701	4.372	8.253	1.54014115175375e-16	1.31479924948778e-13	0.2661	0.1535	0.2359	0.2359	TRUE	0.1407
LOC126267420	7	4	15	2	3	137	54	136	93	175	7	4	17	2	4	94	44	133	134	185	62.25	7	118	15.06	3.913	7.767	8.01133566707448e-15	6.07926854869835e-12	0.3369	0.1274	0.2658	0.2658	TRUE	0.3875
LOC126350814	843	712	861	1207	973	3416	2938	3062	2455	1958	811	669	964	1072	1201	2339	2403	2988	3528	2074	1804.9	943	2666	2.682	1.423	7.391	1.46107202575024e-13	9.5032299046298e-11	0.0479	0.0529	0.0487	0.0487	TRUE	0.1788
LOC126336424	12	13	7	15	13	326	323	22	123	426	12	12	8	13	16	223	264	21	177	451	119.79	12	227	15.048	3.912	7.373	1.67213875130705e-13	1.03817014564105e-10	0.4525	0.0903	0.3497	0.3497	TRUE	0.0801
LOC126353961	16	15	22	28	22	127	91	94	113	84	15	14	25	25	27	87	74	92	162	89	61.06	21	101	4.555	2.187	7.353	1.93792585979644e-13	1.15087518778085e-10	0.07	0.1289	0.083	0.083	TRUE	1.0344
LOC126336147	227	203	161	237	134	594	430	348	338	390	218	191	180	210	165	407	352	340	486	413	296.22	193	400	1.972	0.98	7.289	3.11415649138649e-13	1.77234431316033e-10	0.0129	0.0665	0.0207	0.0207	TRUE	0.1602
LOC126336270	6	12	3	15	7	59	50	61	44	68	6	11	3	13	9	40	41	60	63	72	31.85	8	55	5.974	2.579	7.128	1.01918312848326e-12	5.35423936613573e-10	0.063	0.2011	0.1006	0.1006	TRUE	0.1482
LOC126353287	6882	9355	6769	10424	7021	18617	20166	18147	10300	15067	6622	8793	7578	9256	8667	12747	16497	17707	14800	15963	11862.81	8183	15543	1.831	0.873	7.013	2.33943923495674e-12	1.18349631519534e-09	0.0157	0.0507	0.0208	0.0208	TRUE	0.1419
LOC126354154	317	345	353	257	221	1952	627	1815	908	1213	305	324	395	228	273	1336	513	1771	1305	1285	773.56	305	1242	3.896	1.962	7.001	2.5331719862256e-12	1.2357355771377e-09	0.1109	0.0565	0.0984	0.0984	TRUE	0.2429
LOC126282005	43	58	25	21	26	389	158	184	215	107	41	55	28	19	32	266	129	180	309	113	117.2	35	199	5.371	2.425	6.929	4.24248454681941e-12	1.99821022155194e-09	0.1566	0.0912	0.1406	0.1406	TRUE	0.0691
LOC126278170	1358	1366	1116	1604	991	2864	2177	1880	1342	1660	1307	1284	1249	1424	1223	1961	1781	1834	1928	1759	1575.07	1297	1853	1.402	0.488	6.904	5.05520850644471e-12	2.2948011055215e-09	0.0021	0.0533	0.006	0.006	TRUE	0.037
LOC126283997	1349	1185	1061	1260	941	2522	2084	2151	1339	1630	1298	1114	1188	1119	1162	1727	1705	2099	1924	1727	1506.12	1176	1836	1.53	0.613	6.8	1.04950292934273e-11	4.47973765996637e-09	0.0055	0.0534	0.01	0.01	TRUE	0.0795
LOC126282076	34	27	9	49	33	420	186	130	262	124	33	25	10	44	41	288	152	127	376	131	122.68	31	215	6.462	2.692	6.715	1.88265956668437e-11	7.56330794745348e-09	0.2306	0.0894	0.1918	0.1918	TRUE	0.1254
LOC126354944	1	0	0	7	2	121	17	56	66	77	1	0	0	6	2	83	14	55	95	82	33.75	2	66	21.685	4.439	6.593	4.29590802659727e-11	1.54415283513926e-08	0.6368	0.1926	0.4385	0.4385	TRUE	0.8748
LOC126336460	271	188	151	152	139	959	448	410	391	565	261	177	169	135	172	657	366	400	562	599	349.66	183	517	2.637	1.399	6.535	6.37577822810319e-11	2.12406719067467e-08	0.0582	0.064	0.0595	0.0595	TRUE	0.1433
LOC126295297	183	199	153	189	113	394	365	330	234	253	176	187	171	168	139	270	299	322	336	268	233.63	168	299	1.707	0.771	6.409	1.46833263929999e-10	4.55817170913605e-08	0.0057	0.0708	0.015	0.015	TRUE	0.0912
LOC126282243	235	379	417	422	367	2182	1827	675	1686	1286	226	356	467	375	453	1494	1495	659	2423	1362	930.91	375	1487	3.737	1.902	6.362	1.99104623352259e-10	6.0434890008189e-08	0.1344	0.0554	0.1153	0.1153	TRUE	0.1358
LOC126323702	37	26	30	41	30	139	316	199	51	132	36	24	34	36	37	95	258	194	73	140	92.8	33	152	4.296	2.103	6.258	3.89952025623106e-10	1.15790319956217e-07	0.1365	0.102	0.1288	0.1288	TRUE	0.1093
LOC126293522	203	167	168	195	86	880	376	594	413	330	195	157	188	173	106	603	308	580	593	350	325.24	164	487	2.746	1.457	6.243	4.28726837121431e-10	1.24595316345567e-07	0.0732	0.065	0.0715	0.0715	TRUE	0.0883
LOC126295317	10	15	10	14	15	165	54	62	38	41	10	14	11	12	19	113	44	60	55	43	38.15	13	63	4.531	2.18	6.104	1.03544143407214e-09	2.7731557937238e-07	0.1067	0.1761	0.1207	0.1207	TRUE	1.2252
LOC126336574	6	9	13	47	11	384	29	278	210	302	6	8	15	42	14	263	24	271	302	320	126.37	17	236	11.072	3.469	6.087	1.1506877355948e-09	3.02254688086335e-07	0.5885	0.0883	0.4364	0.4364	TRUE	2.4546
LOC126272901	21	31	23	10	17	183	85	99	62	52	20	29	26	9	21	125	70	97	89	55	54.06	21	87	3.908	1.966	6.055	1.40730193418392e-09	3.55969205907745e-07	0.0998	0.1391	0.1093	0.1093	TRUE	0.1872
LOC126335006	4	7	6	10	2	263	5	260	142	572	4	7	7	9	2	180	4	254	204	606	127.64	6	250	23.629	4.562	5.947	2.73013074338188e-09	6.42945790066434e-07	0.9152	0.0879	0.6524	0.9152	TRUE	0.1816
LOC126278707	2893	2987	2617	3390	2290	6031	4484	5035	3263	3855	2784	2807	2930	3010	2827	4129	3668	4913	4689	4084	3584.08	2872	4297	1.457	0.543	5.914	3.34475962011314e-09	7.51914929635205e-07	0.007	0.0516	0.0113	0.0113	TRUE	0.0834
LOC126353822	101	107	43	179	68	478	236	518	284	434	97	101	48	159	84	327	193	505	408	460	238.24	98	379	3.589	1.844	5.912	3.37360504018582e-09	7.51914929635205e-07	0.1413	0.0704	0.124	0.124	TRUE	0.2711
LOC126272958	202	37	194	78	61	1269	779	470	494	641	194	35	217	69	75	869	637	459	710	679	394.45	118	671	5.202	2.379	5.88	4.11415974390398e-09	8.91989014952134e-07	0.2731	0.0624	0.2131	0.2131	TRUE	0.6565
LOC126335829	0	5	0	1	0	41	34	22	11	19	0	5	0	1	0	28	28	21	16	20	11.89	1	23	13.453	3.75	5.731	1.0005977473552e-08	2.07078251986737e-06	0.0227	0.4543	0.2159	0.2159	TRUE	1.5566
LOC126293175	227	242	93	64	115	610	473	1799	641	1081	218	227	104	57	142	418	387	1755	921	1145	537.5	150	925	5.568	2.477	5.708	1.14056360795386e-08	2.29394198672593e-06	0.3273	0.0592	0.2504	0.2504	TRUE	0.1267
LOC126336988	3	4	2	8	4	84	12	36	29	59	3	4	2	7	5	58	10	35	42	63	22.76	4	42	8.191	3.034	5.708	1.14201665639771e-08	2.29394198672593e-06	0.268	0.2613	0.2663	0.2663	TRUE	0.1409
