Id	SCANC_S_Iso_SRR17648044	SCANC_S_Iso_SRR17648046	SCANC_S_Iso_SRR17648050	SCANC_S_Iso_SRR17648052	SCANC_S_Iso_SRR17648054	SCANC_G_Crd_SRR17648042	SCANC_G_Crd_SRR17648048	SCANC_G_Crd_SRR17648056	SCANC_G_Crd_SRR17648058	SCANC_G_Crd_SRR17648060	norm.SCANC_S_Iso_SRR17648044	norm.SCANC_S_Iso_SRR17648046	norm.SCANC_S_Iso_SRR17648050	norm.SCANC_S_Iso_SRR17648052	norm.SCANC_S_Iso_SRR17648054	norm.SCANC_G_Crd_SRR17648042	norm.SCANC_G_Crd_SRR17648048	norm.SCANC_G_Crd_SRR17648056	norm.SCANC_G_Crd_SRR17648058	norm.SCANC_G_Crd_SRR17648060	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126266677	1298	2713	1329	954	1655	556	981	525	358	529	1167	2130	1526	763	1757	476	950	617	437	615	1043.91	1469	619	0.489	-1.032	-4.055	5.01080455779775e-05	0.00251110371941777	0.1164	0.0816	0.1122	0.1122	TRUE	0.1322
LOC126266685	22	25	15	58	23	7	13	8	4	6	20	20	17	46	24	6	13	9	5	7	16.73	25	8	0.458	-1.126	-3.524	0.000424420369870782	0.0110464226247219	0.1138	0.7808	0.1873	0.1873	TRUE	1.494
LOC126266700	352	447	499	417	349	1133	978	766	558	548	316	351	573	333	371	971	947	900	681	637	608.12	389	827	2.027	1.019	5.141	2.72891061099145e-07	4.89389558358651e-05	0.047	0.0898	0.0523	0.0523	TRUE	0.3828
LOC126266726	22	66	15	26	21	131	123	179	305	214	20	52	17	21	22	112	119	210	372	249	119.48	26	212	7.198	2.848	6.846	7.58058268713301e-12	6.09356409779801e-09	0.2187	0.1697	0.2104	0.2104	TRUE	0.2175
LOC126266734	3	0	0	2	0	23	8	68	0	12	3	0	0	2	0	20	8	80	0	14	12.56	1	24	3.64	1.864	3.342	0.000832868229685704	0.0173243864256432	2.2906	1.0163	1.9082	1.9082	TRUE	0.8227
LOC126266871	4	23	13	28	30	63	221	79	118	34	4	18	15	22	32	54	214	93	144	40	63.53	18	109	4.502	2.171	4.424	9.68786165282781e-06	0.000744913522288291	0.4072	0.2573	0.3796	0.3796	TRUE	0.1302
LOC126266914	697	2260	617	303	608	207	471	210	149	206	627	1775	709	242	646	177	456	247	182	240	529.94	800	260	0.482	-1.052	-3.457	0.000546821744372239	0.0130461584969377	0.3039	0.0926	0.2607	0.2607	TRUE	0.5927
LOC126266940	15	28	9	95	15	121	812	219	225	180	13	22	10	76	16	104	787	257	275	209	176.93	27	326	9.769	3.288	5.569	2.56469336167399e-08	6.6366372835933e-06	0.5644	0.1374	0.4721	0.4721	TRUE	1.0168
LOC126266969	250	909	25	585	172	24	27	61	33	50	225	714	29	468	183	21	26	72	40	58	183.43	324	43	0.185	-2.438	-4.422	9.78373504925429e-06	0.000748011016038442	0.6037	0.135	0.5038	0.5038	TRUE	0.1103
LOC126267082	63	169	2	49	29	2	1	3	0	2	57	133	2	39	31	2	1	4	0	2	27.01	52	2	0.048	-4.391	-5.08	3.77608838057379e-07	6.19646893280499e-05	0.8951	0.5102	0.8155	0.8155	TRUE	0.2276
LOC126267091	2	6	2	4	2	19	15	5	17	17	2	5	2	3	2	16	15	6	21	20	9.13	3	16	3.713	1.892	4.056	4.99595324986054e-05	0.00251110371941777	0	1.3717	0.2318	0.2318	TRUE	0.3183
LOC126267101	96	111	6	88	82	5	5	20	7	6	86	87	7	70	87	4	5	24	9	7	38.59	67	10	0.211	-2.242	-4.137	3.51867750626902e-05	0.00190149897688177	0.5227	0.3782	0.4973	0.4973	TRUE	1.8619
LOC126267207	1	0	3	8	5	38	25	29	48	159	1	0	3	6	5	33	24	34	59	185	35.04	3	67	15.941	3.995	5.296	1.18138526556577e-07	2.56398711829887e-05	0.7504	0.4095	0.6714	0.6714	TRUE	1.4774
LOC126267259	352	7276	682	133	498	43	333	16	82	40	316	5714	783	106	529	37	323	19	100	47	797.32	1490	105	0.231	-2.115	-3.539	0.00040234699176033	0.0105948749924207	1.3993	0.0851	1.064	1.3993	TRUE	4.3107
LOC126267269	33	52	38	31	25	106	50	126	131	74	30	41	44	25	27	91	48	148	160	86	69.88	33	107	2.801	1.486	4.601	4.20766903168701e-06	0.00040121270427154	0.1273	0.2403	0.1424	0.1424	TRUE	0.0786
LOC126267274	53	11	32	114	13	206	117	76	168	195	48	9	37	91	14	177	113	89	205	227	100.89	40	162	2.544	1.347	3.578	0.000345974810169904	0.00950089192989026	0.4159	0.188	0.3719	0.3719	TRUE	0.5295
LOC126267355	484	171	1126	951	2237	3324	1921	6272	3279	2903	435	134	1293	760	2375	2848	1861	7373	4002	3376	2445.68	999	3892	2.02	1.015	3.216	0.00129850043257446	0.023020582108988	0.5327	0.0751	0.4461	0.4461	TRUE	0.9308
LOC126267438	36	13	29	49	20	101	73	62	35	82	32	10	33	39	21	87	71	73	43	95	50.45	27	74	2.129	1.09	3.755	0.000173600662103394	0.00586927263633986	0.1261	0.3058	0.1518	0.1518	TRUE	0.5065
LOC126267473	397	258	383	166	205	91	152	77	50	65	357	203	440	133	218	78	147	91	61	76	180.2	270	91	0.395	-1.34	-4.257	2.06842925474368e-05	0.0012946564258551	0.1603	0.1362	0.1565	0.1565	TRUE	0.1129
LOC126267497	76	303	75	26	64	22	34	22	15	9	68	238	86	21	68	19	33	26	18	10	58.75	96	21	0.349	-1.519	-3.705	0.00021144231465579	0.00669451243766661	0.406	0.2725	0.3841	0.3841	TRUE	0.6354
LOC126267543	445	434	532	438	518	1159	1292	777	919	1038	400	341	611	350	550	993	1252	913	1122	1207	773.84	450	1097	2.351	1.233	6.379	1.78738284891458e-10	8.53856565783797e-08	0.0436	0.0856	0.0474	0.0474	TRUE	0.425
LOC126267547	36	2140	188	1	5	3	7	3	2	5	32	1681	216	1	5	3	7	4	2	6	195.6	387	4	0.03	-5.061	-4.523	6.08923665872188e-06	0.000527604760438279	2.3644	0.131	1.8103	2.3644	TRUE	3.5489
LOC126267550	1353	312	1140	4117	629	6967	1605	7113	4857	8097	1216	245	1309	3291	668	5969	1555	8361	5928	9415	3795.78	1346	6246	2.888	1.53	3.69	0.000224132259936146	0.00691725616903848	0.4948	0.0733	0.432	0.432	TRUE	0.7319
LOC126267553	952	20136	2020	788	1405	389	498	109	344	720	856	15812	2320	630	1492	333	482	128	420	837	2331.05	4222	440	0.167	-2.58	-4.132	3.59741141452481e-05	0.00193627071975383	0.9764	0.0753	0.7472	0.7472	TRUE	5.3506
LOC126267565	16	26	0	35	39	0	1	1	3	2	14	20	0	28	41	0	1	1	4	2	11.23	21	2	0.281	-1.832	-3.414	0.000641085137188397	0.0146686694445233	1.0555	1.1285	1.0716	1.0716	TRUE	0.0797
LOC126267627	164	178	85	141	101	39	78	44	27	30	147	140	98	113	107	33	76	52	33	35	83.33	121	46	0.412	-1.279	-4.87	1.1183161081723e-06	0.00014331487191968	0.0644	0.2129	0.0841	0.0841	TRUE	0.6598
LOC126267655	577	1903	22	627	645	1	7	0	21	17	519	1494	25	501	685	1	7	0	26	20	327.74	645	11	0.029	-5.121	-5.149	2.61801161909924e-07	4.82574854063005e-05	1.5431	0.1065	1.0932	1.5431	TRUE	0.164
LOC126267671	156	255	75	170	172	57	63	60	41	55	140	200	86	136	183	49	61	71	50	64	103.95	149	59	0.422	-1.246	-5.123	3.01248139545833e-07	5.06699370716092e-05	0.0555	0.1846	0.0705	0.0705	TRUE	0.1403
