Id	SCANC_S_Iso_SRR17648044	SCANC_S_Iso_SRR17648046	SCANC_S_Iso_SRR17648050	SCANC_S_Iso_SRR17648052	SCANC_S_Iso_SRR17648054	SCANC_G_Crd_SRR17648042	SCANC_G_Crd_SRR17648048	SCANC_G_Crd_SRR17648056	SCANC_G_Crd_SRR17648058	SCANC_G_Crd_SRR17648060	norm.SCANC_S_Iso_SRR17648044	norm.SCANC_S_Iso_SRR17648046	norm.SCANC_S_Iso_SRR17648050	norm.SCANC_S_Iso_SRR17648052	norm.SCANC_S_Iso_SRR17648054	norm.SCANC_G_Crd_SRR17648042	norm.SCANC_G_Crd_SRR17648048	norm.SCANC_G_Crd_SRR17648056	norm.SCANC_G_Crd_SRR17648058	norm.SCANC_G_Crd_SRR17648060	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126353962	344	903	246	257	300	12	17	15	21	2	309	709	283	205	319	10	16	18	26	2	189.71	365	14	0.043	-4.538	-9.484	2.43796519721302e-21	5.46754328228306e-18	0.2827	0.1329	0.2519	0.2519	TRUE	0.8009
LOC126336827	1342	1541	1306	1654	1258	861	604	415	476	441	1206	1210	1500	1322	1336	738	585	488	581	513	947.84	1315	581	0.45	-1.152	-8.568	1.04987948660836e-17	1.76589729647526e-14	0.0166	0.0828	0.0214	0.0214	TRUE	0.2781
LOC126337054	3552	6505	2684	2546	3266	884	1222	553	931	598	3193	5108	3082	2035	3467	757	1184	650	1136	695	2130.9	3377	884	0.281	-1.832	-7.064	1.61227392932687e-12	1.54962557093016e-09	0.0946	0.0758	0.0892	0.0892	TRUE	0.1949
LOC126336796	138	167	124	199	137	70	43	47	59	54	124	131	142	159	145	60	42	55	72	63	99.38	140	58	0.426	-1.23	-6.968	3.22252260420201e-12	2.89081761080949e-09	0.0072	0.1898	0.0276	0.0276	TRUE	0.2337
LOC126336375	127	148	131	169	131	45	50	44	51	25	114	116	150	135	139	39	48	52	62	29	88.5	131	46	0.367	-1.446	-6.844	7.69846831618357e-12	6.09356409779801e-09	0.0181	0.2045	0.0435	0.0435	TRUE	0.3055
LOC126273451	407	409	345	457	423	175	202	158	155	102	366	321	396	365	449	150	196	186	189	119	273.68	379	168	0.454	-1.138	-6.798	1.06418266884956e-11	7.95535666224429e-09	0.0214	0.1136	0.0315	0.0315	TRUE	0.28
LOC126272947	387	546	314	319	660	148	73	32	74	73	348	429	361	255	701	127	71	38	90	85	250.33	419	82	0.218	-2.201	-6.612	3.80012935296498e-11	2.43497812254747e-08	0.1504	0.1177	0.1437	0.1437	TRUE	0.3833
LOC126353940	961	1177	667	900	662	528	508	419	348	328	864	924	766	719	703	452	492	493	425	381	621.95	795	449	0.576	-0.795	-6.585	4.56295961882237e-11	2.79087202867608e-08	0.0106	0.0893	0.0171	0.0171	TRUE	0.1012
LOC126335646	715	16230	50	34866	60985	37	131	49	89	123	643	12745	57	27871	64747	32	127	58	109	143	10653.09	21213	94	0.009	-6.755	-6.443	1.16931012103545e-10	6.29369479546122e-08	1.7657	0.0713	1.3139	1.7657	TRUE	0.2156
LOC126334554	912	872	621	818	712	320	480	270	236	211	820	685	713	654	756	274	465	317	288	245	521.75	726	318	0.453	-1.144	-6.391	1.64704326459709e-10	8.52408237246861e-08	0.0325	0.093	0.0392	0.0392	TRUE	0.7811
