Id	SCANC_S_Iso_SRR17648044	SCANC_S_Iso_SRR17648046	SCANC_S_Iso_SRR17648050	SCANC_S_Iso_SRR17648052	SCANC_S_Iso_SRR17648054	SCANC_G_Crd_SRR17648042	SCANC_G_Crd_SRR17648048	SCANC_G_Crd_SRR17648056	SCANC_G_Crd_SRR17648058	SCANC_G_Crd_SRR17648060	norm.SCANC_S_Iso_SRR17648044	norm.SCANC_S_Iso_SRR17648046	norm.SCANC_S_Iso_SRR17648050	norm.SCANC_S_Iso_SRR17648052	norm.SCANC_S_Iso_SRR17648054	norm.SCANC_G_Crd_SRR17648042	norm.SCANC_G_Crd_SRR17648048	norm.SCANC_G_Crd_SRR17648056	norm.SCANC_G_Crd_SRR17648058	norm.SCANC_G_Crd_SRR17648060	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126299011	1184	1105	688	1093	847	2815	2177	1942	2017	2059	1064	868	790	874	899	2412	2109	2283	2462	2394	1615.46	899	2332	2.568	1.361	13.735	6.27375676241178e-43	8.4419670995013e-39	0.0072	0.0776	0.0113	0.0113	TRUE	0.1288
LOC126336424	20	14	17	20	16	334	257	156	221	425	18	11	20	16	17	286	249	183	270	494	156.39	16	296	17.673	4.143	12.828	1.14810879295327e-37	7.72447595898959e-34	0.0897	0.1462	0.0979	0.0979	TRUE	0.3501
LOC126297459	66	52	42	67	37	259	309	192	193	266	59	41	48	54	39	222	299	226	236	309	153.3	48	258	5.199	2.378	12.502	7.31594777271514e-36	3.2814464409885e-32	0.0195	0.1477	0.0332	0.0332	TRUE	0.0722
LOC126335666	3	0	5	7	4	109	119	62	128	170	3	0	6	6	4	93	115	73	156	198	65.37	4	127	32.026	5.001	9.773	1.4680274551606e-22	4.93844435916025e-19	0.1809	0.252	0.2001	0.2001	TRUE	0.2137
LOC126272892	6	7	1	6	1	282	52	529	626	242	5	5	1	5	1	242	50	622	764	281	197.71	3	392	83.431	6.383	9.496	2.18233481892249e-21	5.46754328228306e-18	0.5941	0.1303	0.4762	0.4762	TRUE	0.0476
LOC126336254	86	53	104	71	79	663	336	588	555	399	77	42	119	57	84	568	325	691	677	464	310.5	76	545	6.838	2.774	9.104	8.71032715570043e-20	1.67437374581579e-16	0.1113	0.1085	0.1108	0.1108	TRUE	0.2033
LOC126272891	21	5	3	3	2	461	65	970	1073	187	19	4	3	2	2	395	63	1140	1310	217	315.59	6	625	74.238	6.214	8.24	1.72143925336178e-16	2.57374295480401e-13	0.9164	0.1079	0.7082	0.7082	TRUE	0.1451
LOC126336183	38	40	53	46	46	204	275	522	207	270	34	31	61	37	49	175	266	614	253	314	183.34	42	324	7.15	2.838	8.121	4.63349822852227e-16	6.23483521629956e-13	0.1466	0.135	0.1448	0.1448	TRUE	0.5427
LOC126336551	0	0	0	0	0	0	204	0	0	141	0	0	0	0	0	0	198	0	0	164	36.16	0	72	4238700.61	22.015	7.508	5.993876097796e-14	7.33214516108572e-11	10	0.399	7.5735	10	TRUE	0.0557
LOC126291788	27	5	63	35	25	529	396	327	257	658	24	4	72	28	27	453	384	384	314	765	245.51	31	460	13.415	3.746	7.238	4.55641309012619e-13	5.10925787839484e-10	0.3982	0.1186	0.3326	0.3326	TRUE	1.8392
LOC126272958	2	7	9	2	3	172	43	534	147	51	2	5	10	2	3	147	42	628	179	59	107.79	4	211	37.269	5.22	7.122	1.06662355709828e-12	1.10403742956265e-09	0.7596	0.1805	0.6292	0.6292	TRUE	0.766
LOC126266726	22	66	15	26	21	131	123	179	305	214	20	52	17	21	22	112	119	210	372	249	119.48	26	212	7.198	2.848	6.846	7.58058268713301e-12	6.09356409779801e-09	0.2187	0.1697	0.2104	0.2104	TRUE	0.2175
LOC126284235	386	682	244	474	456	1100	1304	2131	1121	1197	347	536	280	379	484	942	1263	2505	1368	1392	949.65	405	1494	3.415	1.772	6.612	3.78391822535581e-11	2.43497812254747e-08	0.0981	0.0827	0.0958	0.0958	TRUE	0.6225
LOC126355159	5	14	1	19	3	259	117	85	33	300	4	11	1	15	3	222	113	100	40	349	85.93	7	165	19.42	4.279	6.626	3.44972631106511e-11	2.43497812254747e-08	0.5762	0.2085	0.4921	0.4921	TRUE	0.1225
LOC126336219	5	3	8	9	14	240	188	159	146	12	4	2	9	7	15	206	182	187	178	14	80.49	7	153	17.354	4.117	6.56	5.36682665738752e-11	3.13982693486115e-08	0.5257	0.2179	0.4626	0.4626	TRUE	2.5544
LOC126350798	453	679	440	426	646	1243	1330	1440	1322	954	407	533	505	341	686	1065	1288	1693	1613	1109	924.09	494	1354	2.611	1.385	6.465	1.00994105416702e-10	5.66240284369644e-08	0.0563	0.0831	0.0594	0.0594	TRUE	0.1581
LOC126267543	445	434	532	438	518	1159	1292	777	919	1038	400	341	611	350	550	993	1252	913	1122	1207	773.84	450	1097	2.351	1.233	6.379	1.78738284891458e-10	8.53856565783797e-08	0.0436	0.0856	0.0474	0.0474	TRUE	0.425
LOC126282322	0	0	0	0	0	64	5	13	80	85	0	0	0	0	0	55	5	15	98	99	27.14	0	54	132.473	7.05	6.381	1.76265361622166e-10	8.53856565783797e-08	1.3149	0.5081	1.0284	1.0284	TRUE	0.0296
LOC126299529	319	321	317	299	249	649	470	466	425	501	287	252	364	239	264	556	455	548	519	583	406.66	281	532	1.855	0.891	6.374	1.84020811591336e-10	8.53856565783797e-08	0.015	0.0994	0.0225	0.0225	TRUE	0.3007
LOC126295297	176	218	111	150	120	321	243	229	217	245	158	171	127	120	127	275	235	269	265	285	203.35	141	266	1.84	0.88	6.335	2.37593628992433e-10	1.03130963603941e-07	0.009	0.1287	0.0196	0.0196	TRUE	0.1645
LOC126292017	0	3	0	3	4	19	49	88	59	24	0	2	0	2	4	16	47	103	72	28	27.61	2	53	23.115	4.531	6.154	7.53739716223656e-10	3.07343079439561e-07	0.485	0.5007	0.4881	0.4881	TRUE	0.1131
LOC126350814	395	614	362	462	564	1502	1039	2230	1389	910	355	482	416	369	599	1287	1006	2621	1695	1058	988.92	444	1533	3.186	1.672	6.148	7.83439949625131e-10	3.10057881239875e-07	0.1036	0.0822	0.1001	0.1001	TRUE	0.3873
LOC126335750	21	3	14	10	13	71	127	44	102	133	19	2	16	8	14	61	123	52	124	155	57.38	12	103	7.663	2.938	6.123	9.1614370786029e-10	3.42434159249113e-07	0.2687	0.2774	0.2704	0.2704	TRUE	0.1096
LOC126267732	609	427	464	976	540	1296	1962	1391	1027	1554	547	335	533	780	573	1110	1901	1635	1253	1807	1047.57	554	1541	2.63	1.395	6.057	1.38497536690376e-09	4.93490252522007e-07	0.0643	0.0816	0.0702	0.0702	TRUE	0.1726
