Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC126271867	18	16	33	21	32	402	349	303	534	242	21	18	24	17	29	513	381	274	412	569	225.72	22	430	19.544	4.289	7.04262126879547e-35	3.9752075751716e-31	0.1008	0.1362
LOC126354515	1	0	0	1	1	273	313	103	109	215	1	0	0	1	1	348	342	93	84	505	137.57	1	274	403.688	8.657	1.30597072356851e-29	4.9143678327883e-26	0.2784	0.1673
LOC126282250	232	68	147	145	118	1298	1149	2145	2960	2609	264	78	107	116	107	1657	1255	1938	2281	6132	1393.58	134	2653	19.706	4.301	4.51031057187409e-18	8.48614934098111e-15	0.2238	0.1572
LOC126278583	0	2	1	2	0	29	37	20	74	22	0	2	1	2	0	37	40	18	57	52	20.89	1	41	39.167	5.292	1.70431600532384e-16	2.4050029230126e-13	0.2163	0.2444
LOC126282249	565	199	305	341	356	3487	2796	4969	7408	7704	644	229	221	274	323	4451	3055	4488	5709	18107	3750.15	338	7162	21.175	4.404	6.18658225342346e-16	7.7600363398775e-13	0.2683	0.1935
LOC126282005	106	56	119	86	87	402	232	537	537	277	121	64	86	69	79	513	253	485	414	651	273.62	84	463	5.508	2.462	1.43009138655666e-14	1.61443016628381e-11	0.1053	0.1287
LOC126335450	13	22	59	34	21	138	170	178	248	84	15	25	43	27	19	176	186	161	191	197	104.06	26	182	6.935	2.794	1.99322493828142e-14	2.04559239347809e-11	0.1265	0.1867
LOC126282247	121	36	59	85	87	1337	1064	1608	1881	7029	138	41	43	68	79	1707	1163	1452	1450	16521	2266.12	74	4459	60.299	5.914	3.1430156049841e-14	2.9567919303888e-11	0.4743	0.1756
LOC126282252	8	8	21	24	24	133	139	341	329	1193	9	9	15	19	22	170	152	308	254	2804	376.18	15	738	48.656	5.605	4.85471281555113e-13	4.21575792113513e-10	0.4761	0.1239
LOC126268224	24	23	21	37	18	130	109	170	311	414	27	26	15	30	16	166	119	154	240	973	176.64	23	330	14.239	3.832	5.46194682929955e-12	4.11066118373084e-09	0.2842	0.1504
LOC126278162	131	51	30	24	104	241	484	2164	2727	1477	149	59	22	19	94	308	529	1955	2102	3471	870.76	69	1673	24.385	4.608	6.73632940215248e-12	4.75290141380621e-09	0.3976	0.1405
