Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC126305061	366	394	614	424	509	2	0	1	1	2	417	454	446	340	462	3	0	1	1	5	212.76	424	2	0.004	-8.157	5.05439451651007e-65	5.70590596968822e-61	0.0976	0.1385
LOC126353962	693	1788	6575	4291	1755	11	24	61	64	11	790	2059	4775	3446	1592	14	26	55	49	26	1283.09	2532	34	0.014	-6.189	1.00080741057667e-28	2.8245287145e-25	0.232	0.1543
LOC126292048	55	56	94	58	88	0	1	1	4	2	63	64	68	47	80	0	1	1	3	5	33.16	64	2	0.029	-5.088	3.41711034816835e-20	7.71515174409449e-17	0.1636	0.2368
LOC126284279	20	23	34	52	53	1	0	0	0	0	23	26	25	42	48	1	0	0	0	0	16.51	33	0	0.011	-6.562	1.9967869655644e-17	3.22024686489378e-14	0.1974	0.2461
LOC126334877	4828	1886	1239	1342	445	107	158	94	165	42	5501	2171	900	1078	404	137	173	85	127	99	1067.31	2011	124	0.062	-4.016	1.26700911207309e-12	1.02166184758522e-09	0.2987	0.1476
LOC126292013	256	675	1139	653	739	36	85	126	222	18	292	777	827	524	670	46	93	114	171	42	355.66	618	93	0.153	-2.71	2.73365749290749e-11	1.62422418091751e-08	0.1708	0.1241
LOC126293744	329	273	474	212	245	83	21	36	51	17	375	314	344	170	222	106	23	33	39	40	166.65	285	48	0.169	-2.568	5.70253235414419e-10	2.79895164112755e-07	0.1732	0.1526
LOC126284704	915	429	894	1068	812	108	52	237	329	21	1043	494	649	858	736	138	57	214	254	49	449.14	756	142	0.19	-2.396	1.25528002496105e-08	5.45032930837896e-06	0.1891	0.1246
LOC126271905	102	104	250	308	154	15	11	54	20	20	116	120	182	247	140	19	12	49	15	47	94.69	161	28	0.174	-2.524	1.64006632298826e-08	6.85729952600536e-06	0.1961	0.1924
LOC126335646	9307	1854	1448	1370	937	306	396	123	273	61	10604	2135	1052	1100	850	391	433	111	210	143	1702.8	3148	258	0.082	-3.61	5.14838550508732e-08	2.05959767901731e-05	0.4279	0.1649
