SampleID	Run	BioProject	Species	BioSample	RearingCondition	Bytes	CenterName	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	SampleName	SRAStudy	LibraryName	AvgSpotLen	Bases	geo_loc_name_country	geo_loc_name_country_continent	Collection_date	Sex	Dev_stage	Age	Tissue	RearingConditions	Isolate	strain	growth_condition	Inputtrim_reads	Avread_length	Unique_map	Unique_rate	Multipleloci_map	Multipleloci_rate	Toomany_map	Toomany_rate	Map_SUM	Mismatch_unmap	Short_unmap	Short_rate	Other_unmap	Other_rate
GREG-G-CCT-11-ALB_S14	NA	NA	Schistocerca_gregaria	NA	Crowded	NA	TEXAS_A&M_UNIVERSITY	NA	NovaSeq_SP	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	NA	NA	NA	NA	NA	NA	NA	NA	2022	female	Last_nymphal_instar	Last_nymphal_instar	Antenna_lobes	Crowded	NA	NA	NA	35608032	283	12043959	33.8	2685635	7.5	3302558	9.3	50.6	0	10121375	28.4	7454505	20.9
GREG-G-CCT-11-ALB-FULL_S17	NA	NA	Schistocerca_gregaria	NA	Crowded	NA	TEXAS_A&M_UNIVERSITY	NA	NovaSeq_SP	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	NA	NA	NA	NA	NA	NA	NA	NA	2022	female	Last_nymphal_instar	Last_nymphal_instar	Antenna_lobes	Crowded	NA	NA	NA	46611623	272	14628122	31.4	4266504	9.2	5444839	11.7	52.2	0	14183394	30.4	8088764	17.4
GREG-S-ICT-9-ALB_S6	NA	NA	Schistocerca_gregaria	NA	Isolated	NA	TEXAS_A&M_UNIVERSITY	NA	NovaSeq_SP	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	NA	NA	NA	NA	NA	NA	NA	NA	2022	female	Last_nymphal_instar	Last_nymphal_instar	Antenna_lobes	Isolated	NA	NA	NA	34330122	286	21322739	62.1	1702198	5.0	1187339	3.5	70.5	0	7542110	22.0	2575736	7.5
GREG-G-CCT-11-ANT_S13	NA	NA	Schistocerca_gregaria	NA	Crowded	NA	TEXAS_A&M_UNIVERSITY	NA	NovaSeq_SP	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	NA	NA	NA	NA	NA	NA	NA	NA	2022	female	Last_nymphal_instar	Last_nymphal_instar	Antennae	Crowded	NA	NA	NA	41429653	284	18439748	44.5	2723686	6.6	2962980	7.2	58.2	0	10747945	25.9	6555294	15.8
GREG-S-ICT-9-ANT_S5	NA	NA	Schistocerca_gregaria	NA	Isolated	NA	TEXAS_A&M_UNIVERSITY	NA	NovaSeq_SP	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	NA	NA	NA	NA	NA	NA	NA	NA	2022	female	Last_nymphal_instar	Last_nymphal_instar	Antennae	Isolated	NA	NA	NA	79077109	286	41097738	52.0	4543820	5.7	4177816	5.3	63.0	0	19531646	24.7	9726089	12.3
SGREG_G_Crd_SRR17978914	SRR17978914	PRJNA805283	Schistocerca_gregaria	SAMN25851848	NA	898217584	UNITED_STATES_DEPARTMENT_OF_AGRICULTURE	SRX14134730	Sequel_II	SINGLE	cDNA	TRANSCRIPTOMIC	PACBIO_SMRT	2022-02-10T00:00:00Z	Sgre_5M_pool	SRP359315	SGAP181_antennae	2514	1540105877	Kenya	Africa	2020	male	NA	NA	Antennae	NA	not_applicable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SGREG_G_Crd_SRR6315672	SRR6315672	PRJNA381887	Schistocerca_gregaria_gregaria	SAMN06690420	NA	5207265683	UNIVERSIDAD_DE_GRANADA	SRX3415554	Illumina_HiSeq_2000	PAIRED	RANDOM	TRANSCRIPTOMIC	ILLUMINA	2017-11-22T00:00:00Z	Gregarious_1.1	SRP125457	Sg_CNS_G	202	7701076684	Spain	Europe	2013	NA	NA	NA	CNS	NA	pooled	NA	NA	36606930	196	29439705	80.4	2063940	5.6	1282529	3.5	89.6	0	1086204	3.0	2734552	7.5
SGREG_S_Iso_SRR6315673	SRR6315673	PRJNA381887	Schistocerca_gregaria_gregaria	SAMN06690423	NA	6497269456	UNIVERSIDAD_DE_GRANADA	SRX3415553	Illumina_HiSeq_2000	PAIRED	RANDOM	TRANSCRIPTOMIC	ILLUMINA	2017-11-22T00:00:00Z	Solitarious_1.1	SRP125457	Sg_CNS_S	202	9621251112	Spain	Europe	2013	NA	NA	NA	CNS	NA	pooled	NA	NA	45817110	195	29417390	64.2	3997001	8.7	2115647	4.6	77.5	0	1968682	4.3	8318390	18.2
GREG-G-CCT-11-FAT_S11	NA	NA	Schistocerca_gregaria	NA	Crowded	NA	TEXAS_A&M_UNIVERSITY	NA	NovaSeq_SP	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	NA	NA	NA	NA	NA	NA	NA	NA	2022	female	Last_nymphal_instar	Last_nymphal_instar	Fat_Body	Crowded	NA	NA	NA	41240058	286	13645183	33.1	3427366	8.3	4059968	9.8	51.2	0	10843719	26.3	9263822	22.5
GREG-G-CCT-11-FAT-FULL_S19	NA	NA	Schistocerca_gregaria	NA	Crowded	NA	TEXAS_A&M_UNIVERSITY	NA	NovaSeq_SP	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	NA	NA	NA	NA	NA	NA	NA	NA	2022	female	Last_nymphal_instar	Last_nymphal_instar	Fat_Body	Crowded	NA	NA	NA	126860680	270	33981864	26.8	13721849	10.8	16674481	13.1	50.7	0	38098262	30.0	24384224	19.2
