Id	dup
LOC124710724	TRUE
LOC124711250	TRUE
LOC124711278	TRUE
LOC124711286	TRUE
LOC124711290	TRUE
LOC124711548	TRUE
LOC124711568	TRUE
LOC124711660	TRUE
LOC124711697	TRUE
LOC124711752	TRUE
LOC124711778	TRUE
LOC124711857	TRUE
LOC124711866	TRUE
LOC124711907	TRUE
LOC124711910	TRUE
LOC124711943	TRUE
LOC124711968	TRUE
LOC124711994	TRUE
LOC124712022	TRUE
LOC124712031	TRUE
LOC124712054	TRUE
LOC124712226	TRUE
LOC124712464	TRUE
LOC124712519	TRUE
LOC124712543	TRUE
LOC124716714	TRUE
LOC124716732	TRUE
LOC124717035	TRUE
LOC124717061	TRUE
LOC124717082	TRUE
LOC124717096	TRUE
LOC124717267	TRUE
LOC124717283	TRUE
LOC124717389	TRUE
LOC124718860	TRUE
LOC124718862	TRUE
LOC124718922	TRUE
LOC124718923	TRUE
LOC124718938	TRUE
LOC124718949	TRUE
LOC124718981	TRUE
LOC124719099	TRUE
LOC124719691	TRUE
LOC124719754	TRUE
LOC124719891	TRUE
LOC124719983	TRUE
LOC124720047	TRUE
LOC124720060	TRUE
LOC124720076	TRUE
LOC124720123	TRUE
LOC124720168	TRUE
LOC124720170	TRUE
LOC124720174	TRUE
LOC124720355	TRUE
LOC124720432	TRUE
LOC124720476	TRUE
LOC124720521	TRUE
LOC124721228	TRUE
LOC124721693	TRUE
LOC124721705	TRUE
LOC124722044	TRUE
LOC124722186	TRUE
LOC124722326	TRUE
LOC124722715	TRUE
LOC124722943	TRUE
LOC124722982	TRUE
LOC124723001	TRUE
LOC124742380	TRUE
LOC124754463	TRUE
LOC124775105	TRUE
LOC124775444	TRUE
LOC124775601	TRUE
LOC124776026	TRUE
LOC124776084	TRUE
LOC124776202	TRUE
LOC124776287	TRUE
LOC124776322	TRUE
LOC124776325	TRUE
LOC124776394	TRUE
LOC124776484	TRUE
LOC124776485	TRUE
LOC124776630	TRUE
LOC124776648	TRUE
LOC124776658	TRUE
LOC124776760	TRUE
LOC124777002	TRUE
LOC124777043	TRUE
LOC124777064	TRUE
LOC124777085	TRUE
LOC124777169	TRUE
