Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126266629	198	336	344	128	233	413	526	650	753	282	213	365	237	97	201	494	545	554	539	632	387.57	223	553	2.045	1.032	4.278	1.88171433910581e-05	0.00198932487787343	0.1014	0.1487	0.1104	0.1104	TRUE	0.981
LOC126266765	1	4	2	6	4	74	58	65	8	51	1	4	1	5	3	89	60	55	6	114	33.88	3	65	16.573	4.051	6.208	5.37967013756574e-10	2.92186255117566e-07	0.5435	0.243	0.4571	0.4571	TRUE	0.0916
LOC126266827	52	14	48	57	33	109	107	241	67	27	56	15	33	43	28	130	111	205	48	60	73.07	35	111	2.113	1.079	3.643	0.000269175254298826	0.0131497456359989	0.2468	0.1875	0.2327	0.2327	TRUE	0.186
LOC126266892	2	4	4	5	1	17	8	36	20	4	2	4	3	4	1	20	8	31	14	9	9.65	3	16	4.348	2.12	4.236	2.27285339611923e-05	0.0023300191027489	0.1733	0.5025	0.2616	0.2616	TRUE	0.1791
LOC126267090	28	2	75	6	70	0	0	0	0	0	30	2	52	5	60	0	0	0	0	0	14.88	30	0	0.017	-5.89	-5.497	3.85907724773269e-08	1.33900085426458e-05	1.6929	0.3749	1.0388	1.0388	TRUE	0.0322
LOC126267269	152	100	168	143	156	203	131	403	433	580	163	108	116	108	134	243	136	343	310	1299	296.09	126	466	2.287	1.194	3.615	0.000299799242895676	0.013941179913623	0.3781	0.1515	0.3212	0.3212	TRUE	2.2147
LOC126267280	395	680	798	673	407	827	961	1682	1359	1077	424	738	551	508	350	990	996	1432	973	2412	937.49	514	1361	2.158	1.109	4.325	1.52421845008367e-05	0.00170460529475473	0.1205	0.1434	0.1249	0.1249	TRUE	0.9633
LOC126267292	389	384	392	547	278	430	689	1078	1088	906	418	417	271	413	239	515	714	918	779	2029	671.23	352	991	2.144	1.1	3.982	6.83846328624358e-05	0.00525784574940046	0.1732	0.1449	0.1672	0.1672	TRUE	1.1824
LOC126267358	0	1	39	20	4	36	33	111	243	53	0	1	27	15	3	43	34	95	174	119	51.1	9	93	5.246	2.391	3.979	6.93181064737784e-05	0.005269733802265	1.1039	0.2081	0.7683	0.7683	TRUE	0.4006
LOC126267420	25	13	26	5	13	24	38	66	48	108	27	14	18	4	11	29	39	56	34	242	47.44	15	80	2.961	1.566	3.677	0.000236296820264823	0.0122983406608599	0.5851	0.2134	0.4859	0.4859	TRUE	4.7625
LOC126267457	3	2	0	2	2	9	7	27	3	16	3	2	0	2	2	11	7	23	2	36	8.76	2	16	3.9	1.964	3.684	0.000229226210124748	0.0121642708839533	0.6418	0.5391	0.6114	0.6114	TRUE	0.1135
LOC126267478	1179	3273	2206	3525	1378	1703	7712	6390	20273	2055	1266	3551	1523	2662	1186	2039	7997	5441	14508	4602	4477.58	2038	6917	2.136	1.095	3.571	0.000355459485989488	0.015617135598733	0.3634	0.1404	0.2926	0.2926	TRUE	0.2802
LOC126267514	18	94	24	13	88	150	209	341	443	61	19	102	17	10	76	180	217	290	317	137	136.38	45	228	3.53	1.82	4.049	5.13292771100665e-05	0.00418426372200855	0.481	0.1653	0.395	0.395	TRUE	0.5305
