Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126305061	366	394	614	424	509	2	0	1	1	2	393	427	424	320	438	2	0	1	1	4	201.12	400	2	0.004	-7.986	-13.393	6.68183869421451e-41	4.52093206050554e-37	0.0139	0.1571	0.0474	0.0474	TRUE	0.2108
LOC126353962	693	1788	6575	4291	1755	11	24	61	64	11	744	1940	4539	3241	1511	13	25	52	46	25	1213.5	2395	32	0.015	-6.02	-12.321	7.0008387423096e-35	3.15784499536445e-31	0.3372	0.1425	0.2863	0.2863	TRUE	0.0794
LOC126292048	55	56	94	58	88	0	1	1	4	2	59	61	65	44	76	0	1	1	3	4	31.35	61	2	0.033	-4.94	-8.838	9.75377078926369e-19	1.88554323314737e-15	0.0265	0.2513	0.0907	0.0907	TRUE	0.2595
LOC126334877	4828	1886	1239	1342	445	107	158	94	165	42	5185	2046	855	1014	383	128	164	80	118	94	1006.67	1897	117	0.074	-3.762	-6.996	2.64268367134118e-12	2.75083041850684e-09	0.4799	0.1431	0.3912	0.3912	TRUE	0.4797
LOC126284279	20	23	34	52	53	1	0	0	0	0	21	25	23	39	46	1	0	0	0	0	15.6	31	0	0.016	-5.93	-6.692	2.2078175507428e-11	1.6597881720362e-08	0	0.364	0.1791	0.1791	TRUE	0.3071
LOC126292013	256	675	1139	653	739	36	85	126	222	18	275	732	786	493	636	43	88	107	159	40	336.06	584	87	0.167	-2.583	-6.472	9.67802560850204e-11	5.95286556973862e-08	0.2228	0.1501	0.2054	0.2054	TRUE	0.3279
LOC126293744	329	273	474	212	245	83	21	36	51	17	353	296	327	160	211	99	22	31	36	38	157.41	269	45	0.185	-2.436	-6.201	5.61398361887135e-10	2.92186255117566e-07	0.2028	0.1619	0.1928	0.1928	TRUE	0.6717
LOC126365867	310	241	438	545	432	134	109	136	236	58	333	261	302	412	372	160	113	116	169	130	236.83	336	138	0.445	-1.168	-6.204	5.5105628891391e-10	2.92186255117566e-07	0.0285	0.1544	0.046	0.046	TRUE	0.0978
LOC126353960	6	32	52	40	45	0	1	0	0	0	6	35	36	30	39	0	1	0	0	0	14.7	29	0	0.019	-5.742	-6.186	6.17868790035761e-10	3.09666683954219e-07	0	0.3777	0.3463	0.3463	TRUE	1.0042
LOC126271905	102	104	250	308	154	15	11	54	20	20	110	113	173	233	133	18	11	46	14	45	89.46	152	27	0.193	-2.372	-5.834	5.39620190128232e-09	2.21276982206522e-06	0.2087	0.1788	0.201	0.201	TRUE	0.4081
LOC126335513	400	365	1072	793	717	224	180	147	257	88	430	396	740	599	617	268	187	125	184	197	374.28	556	192	0.379	-1.399	-5.826	5.68387665195616e-09	2.26218290747855e-06	0.0635	0.149	0.0798	0.0798	TRUE	0.1302
LOC126283998	7	54	38	31	28	1	1	0	0	0	8	59	26	23	24	1	1	0	0	0	14.21	28	0	0.029	-5.097	-5.616	1.95113892433138e-08	7.33411442334786e-06	0	0.386	0.3878	0.3878	TRUE	0.2102
