Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126271867	18	16	33	21	32	402	349	303	534	242	19	17	23	16	28	481	362	258	382	542	212.82	21	405	18.73	4.227	14.981	9.74804199792836e-51	1.31910504315967e-46	0.0572	0.1561	0.0756	0.0756	TRUE	0.0602
LOC126335450	13	22	59	34	21	138	170	178	248	84	14	24	41	26	18	165	176	152	177	188	98.1	25	172	6.609	2.724	9.997	1.56875414155127e-23	5.30709526086794e-20	0.0367	0.1753	0.072	0.072	TRUE	1.0521
LOC126282250	232	68	147	145	118	1298	1149	2145	2960	2609	249	74	101	110	102	1554	1191	1827	2118	5843	1316.89	127	2507	17.485	4.128	9.026	1.78022404364159e-19	4.81799835171159e-16	0.3103	0.1423	0.2692	0.2692	TRUE	1.3547
LOC126354515	1	0	0	1	1	273	313	103	109	215	1	0	0	1	1	327	325	88	78	482	130.13	1	260	273.821	8.097	8.958	3.31691297746618e-19	7.48074440184539e-16	0	0.1665	0.3753	0.3753	TRUE	0.0585
LOC126282249	565	199	305	341	356	3487	2796	4969	7408	7704	607	216	211	258	306	4175	2899	4231	5301	17254	3545.8	320	6772	18.542	4.213	8.751	2.12073028831958e-18	3.58721528269257e-15	0.3573	0.1406	0.3031	0.3031	TRUE	2.1798
LOC126282005	106	56	119	86	87	402	232	537	537	277	114	61	82	65	75	481	241	457	384	620	258.04	79	437	5.251	2.392	8.427	3.54739741976561e-17	5.33370909825203e-14	0.0823	0.1532	0.0953	0.0953	TRUE	0.0918
LOC126349798	97	89	135	178	123	262	265	523	679	173	104	97	93	134	106	314	275	445	486	387	244.14	107	381	3.447	1.785	8.3	1.04115352284618e-16	1.40888894711545e-13	0.0364	0.154	0.0531	0.0531	TRUE	0.0619
LOC126354195	1	4	5	2	3	161	2	346	298	283	1	4	3	2	3	193	2	295	213	634	134.95	3	267	68.086	6.089	7.459	8.69659932013328e-14	1.06983983636403e-10	1.0842	0.1656	0.7924	0.7924	TRUE	0.1459
LOC126278583	0	2	1	2	0	29	37	20	74	22	0	2	1	2	0	35	38	17	53	49	19.67	1	38	32.55	5.025	7.069	1.56366830910457e-12	1.76329662990026e-09	0	0.3176	0.2007	0.2007	TRUE	0.1676
LOC126354441	3	1	1	2	7	35	29	30	47	12	3	1	1	2	6	42	30	26	34	27	17.06	3	32	11.075	3.469	6.932	4.15491827473918e-12	4.01602529241218e-09	0.0147	0.3449	0.1447	0.1447	TRUE	0.8619
LOC126278162	131	51	30	24	104	241	484	2164	2727	1477	141	55	21	18	90	289	502	1843	1952	3308	821.7	65	1579	19.143	4.259	6.804	1.01583048269852e-11	9.16414539458427e-09	0.7007	0.1439	0.5435	0.5435	TRUE	0.0945
