Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC124709245	8	5	18	14	16	0	0	0	0	0	9	5	12	11	14	0	0	0	0	0	5.06	10	0	0.031	-5.034	-5.278	1.30261436258984e-07	2.12953325795243e-05	0	0.9678	0.3281	0.3281	TRUE	0.097
LOC124710724	251	248	237	319	214	366	354	731	655	362	270	272	163	239	182	444	367	612	468	819	383.66	225	542	2.14	1.098	4.653	3.27861646808697e-06	0.000344566978336568	0.0749	0.1622	0.0857	0.0857	TRUE	0.2702
LOC124711250	517	634	1463	1435	1564	310	264	324	412	285	556	694	1005	1077	1334	376	274	271	295	645	652.65	933	372	0.482	-1.052	-3.985	6.74862153869509e-05	0.00378666298370341	0.1267	0.1577	0.1323	0.1323	TRUE	0.2635
LOC124711278	9013	7777	13404	23808	18054	3540	3717	2687	7245	516	9693	8519	9211	17862	15395	4295	3856	2250	5180	1167	7742.76	12136	3350	0.33	-1.599	-4.614	3.94268405205001e-06	0.000402786095013511	0.1767	0.1519	0.1943	0.1943	TRUE	0.2194
LOC124711286	21	62	52	24	44	51	55	153	203	98	23	68	36	18	38	62	57	128	145	222	79.56	37	123	2.381	1.252	3.713	0.000204486488208172	0.00870678481303093	0.2636	0.2033	0.2507	0.2507	TRUE	0.1751
LOC124711290	809	323	797	847	629	89	43	229	317	17	870	354	548	635	536	108	45	192	227	38	355.28	589	122	0.256	-1.963	-4.665	3.08149791132309e-06	0.000329074155981778	0.3143	0.163	0.2767	0.2767	TRUE	0.4313
LOC124711364	2	3	11	17	3	56	95	22	28	4	2	3	8	13	3	68	99	18	20	9	24.23	6	43	4.601	2.202	3.952	7.73658478995368e-05	0.00419868261428552	0.6297	0.3219	0.5537	0.5537	TRUE	0.1233
LOC124711479	7	3	4	15	7	16	15	25	20	17	8	3	3	11	6	19	16	21	14	38	13.94	6	22	2.222	1.152	3.518	0.000435568064201017	0.0146390667668778	0.1251	0.4476	0.2031	0.2031	TRUE	0.7155
LOC124711548	167	108	392	206	183	368	275	943	1117	1684	180	118	269	155	156	446	285	790	799	3809	700.63	176	1226	5.395	2.432	4.578	4.68393164705489e-06	0.00043989094234256	0.5391	0.1573	0.4467	0.4467	TRUE	2.4646
LOC124711568	7	16	10	13	6	37	77	85	177	74	8	18	7	10	5	45	80	71	127	167	53.66	10	98	9.685	3.276	7.374	1.65979150588017e-13	8.45344581571741e-11	0.1935	0.2284	0.2013	0.2013	TRUE	0.1212
LOC124711660	105	455	831	899	608	261	468	1823	1644	5023	113	498	571	674	518	317	486	1526	1175	11360	1723.91	475	2973	2.346	1.23	3.208	0.00133604092168054	0.033255364445289	1.0545	0.1538	0.8153	0.8153	TRUE	5.396
LOC124711697	108	258	322	189	259	585	528	544	493	206	116	283	221	142	221	710	548	455	352	466	351.4	197	506	2.263	1.178	4.6	4.23033570858724e-06	0.000414948929282313	0.0887	0.1632	0.1023	0.1023	TRUE	0.2463
LOC124711752	16	32	47	33	53	0	1	0	1	7	17	35	32	25	45	0	1	0	1	16	17.21	31	4	0.188	-2.41	-3.765	0.000166689212433001	0.00745708969945201	1.1471	0.3914	0.811	0.811	TRUE	1.863
LOC124711778	115	98	198	148	159	181	197	329	364	167	124	107	136	111	136	220	204	275	260	378	195.1	123	267	2.009	1.006	5.303	1.13885495377897e-07	1.90895155670141e-05	0.0289	0.1726	0.047	0.047	TRUE	0.3762
LOC124711793	26	1	61	12	18	0	0	3	3	0	28	1	42	9	15	0	0	3	2	0	10	19	1	0.139	-2.846	-3.809	0.000139667519767173	0.00646670383481434	1.059	0.5645	0.8808	0.8808	TRUE	0.0907
LOC124711857	9	9	22	7	14	46	42	59	56	66	10	10	15	5	12	56	44	49	40	149	38.99	10	68	5.553	2.473	5.634	1.75956651834127e-08	3.94918302302968e-06	0.2082	0.2573	0.2185	0.2185	TRUE	2.9149
LOC124711859	27	19	15	45	33	0	8	9	12	2	29	21	10	34	28	0	8	8	9	5	15.1	24	6	0.4	-1.323	-3.575	0.000350219371507113	0.012534067344587	0.2005	0.425	0.2684	0.2684	TRUE	0.3759
LOC124711861	9	1	23	6	7	0	0	0	1	0	10	1	16	5	6	0	0	0	1	0	3.78	8	0	0.134	-2.895	-3.707	0.000209315463524284	0.00882724639486807	0.573	1.2452	0.8004	0.8004	TRUE	0.1132
LOC124711866	8	22	7	3	10	58	315	13	315	14	9	24	5	2	9	70	327	11	225	32	71.32	10	133	10.057	3.33	4.61	4.02288113276297e-06	0.000403568120909448	0.9631	0.2093	0.7666	0.7666	TRUE	0.096
LOC124711876	13	11	42	46	21	5	4	7	5	6	14	12	29	35	18	6	4	6	4	14	14.05	22	7	0.428	-1.226	-3.566	0.000362317504965615	0.0128393847746849	0.1425	0.4453	0.2092	0.2092	TRUE	0.1611
LOC124711893	63	7	169	134	16	6	8	2	9	5	68	8	116	101	14	7	8	2	6	11	34.07	61	7	0.16	-2.646	-4.278	1.88801881523843e-05	0.00138127873764571	0.6677	0.2726	0.5705	0.5705	TRUE	0.036
LOC124711907	17	9	18	8	26	33	25	56	78	30	18	10	12	6	22	40	26	47	56	68	30.52	14	47	2.778	1.474	4.309	1.64139757753361e-05	0.00125605799155013	0.1238	0.2868	0.1597	0.1597	TRUE	0.1594
LOC124711910	224	68	272	420	349	64	135	57	100	24	241	74	187	315	298	78	140	48	71	54	150.62	223	78	0.493	-1.021	-3.537	0.000405451060922499	0.0138020127216857	0.2164	0.1788	0.2088	0.2088	TRUE	0.3042
LOC124711943	19	17	22	34	21	1	3	12	10	3	20	19	15	26	18	1	3	10	7	7	12.59	20	6	0.431	-1.213	-3.643	0.000269247536470654	0.0104556477359074	0.0267	0.4795	0.159	0.159	TRUE	0.5596
LOC124711951	2	5	0	3	7	23	190	3	216	1	2	5	0	2	6	28	197	3	154	2	40.01	3	77	12.73	3.67	4.166	3.10003606189907e-05	0.00204232226525709	1.8168	0.2546	1.3284	1.3284	TRUE	0.0629
LOC124711957	0	0	0	0	0	0	2	18	10	2	0	0	0	0	0	0	2	15	7	5	2.88	0	6	3.808	1.929	3.296	0.000980931890618724	0.0266724847958381	2.1741	1.5848	1.8645	1.8645	TRUE	0.1752
LOC124711963	15	0	14	21	9	0	2	0	0	0	16	0	10	16	8	0	2	0	0	0	5.13	10	0	0.277	-1.852	-3.305	0.000949104401796938	0.026183417684573	1.362	0.9573	1.1561	1.1561	TRUE	0.5003
LOC124711965	0	0	1	0	0	0	1	40	67	7	0	0	1	0	0	0	1	33	48	16	9.89	0	20	24.261	4.601	4.136	3.5390172487836e-05	0.002297238549431	2.958	0.5689	1.8101	1.8101	TRUE	0.0684
LOC124711968	11	10	7	54	4	20	92	30	49	86	12	11	5	41	3	24	95	25	35	194	44.59	14	75	2.092	1.065	3.134	0.0017251993755027	0.0399389687594525	0.7806	0.244	0.6483	0.6483	TRUE	0.4895
LOC124711994	27	22	78	88	32	6	2	23	17	1	29	24	54	66	27	7	2	19	12	2	24.31	40	8	0.357	-1.488	-3.699	0.000216386624976555	0.00901828253086004	0.3314	0.3213	0.3286	0.3286	TRUE	0.3601
LOC124712002	0	2	0	3	9	27	133	3	102	2	0	2	0	2	8	33	138	3	73	5	26.28	2	50	8.786	3.135	3.893	9.90193551383509e-05	0.00508222597186838	1.8633	0.3086	1.3206	1.3206	TRUE	0.2123
LOC124712022	1	9	8	10	1	16	235	38	29	28	1	10	5	8	1	19	244	32	21	63	40.39	5	76	11.228	3.489	4.748	2.05478030100521e-06	0.000232086480670767	0.9054	0.2537	0.7273	0.7273	TRUE	1.5962
LOC124712031	8	3	15	1	2	264	190	222	267	144	9	3	10	1	2	320	197	186	191	326	124.45	5	244	44.988	5.491	11.166	6.01114685525818e-29	1.59199213314658e-25	0.2334	0.1846	0.2132	0.2132	TRUE	0.3605
LOC124712047	12	10	35	19	11	0	2	0	2	0	13	11	24	14	9	0	2	0	1	0	7.51	14	1	0.079	-3.655	-4.731	2.23568149202386e-06	0.000246707452644833	0	0.7018	0.2683	0.2683	TRUE	0.7711
LOC124712054	42	53	73	96	72	1	0	1	0	0	45	58	50	72	61	1	0	1	0	0	28.89	57	0	0.011	-6.503	-7.553	4.24348228720272e-14	2.55419056577902e-11	0	0.2944	0.0849	0.0849	TRUE	0.1433
LOC124712226	27	27	109	34	23	0	0	8	5	4	29	30	75	26	20	0	0	7	4	9	19.8	36	4	0.135	-2.888	-4.583	4.57875843209605e-06	0.000433085136841542	0.5266	0.3601	0.4578	0.4578	TRUE	1.994
LOC124712421	8	10	7	18	9	1	4	0	0	0	9	11	5	14	8	1	4	0	0	0	5.09	9	1	0.342	-1.55	-3.335	0.000853711903898545	0.0244693788558973	0.1456	0.9628	0.4756	0.4756	TRUE	0.985
LOC124712464	800	783	1534	1039	628	215	392	343	318	204	860	858	1054	780	536	261	407	287	227	461	573.06	818	329	0.444	-1.172	-4.935	7.99514603908882e-07	0.000112629493457036	0.0702	0.1586	0.0836	0.0836	TRUE	0.2369
LOC124712519	815	885	1680	1695	1619	1859	1636	5091	5471	5108	876	969	1154	1272	1381	2255	1697	4262	3911	11552	2933.13	1130	4735	3.335	1.738	4.415	1.01105435943012e-05	0.000832934149238959	0.2928	0.1528	0.2625	0.2625	TRUE	0.8511
LOC124712530	60	10	17	57	3	0	0	0	0	0	65	11	12	43	3	0	0	0	0	0	13.25	27	0	0.015	-6.08	-5.423	5.85683401590564e-08	1.02941013847069e-05	1.4094	0.4632	0.9927	0.9927	TRUE	0.0988
LOC124712543	17778	17240	29895	26365	13410	24723	27139	80378	72005	48988	19119	18885	20544	19781	11435	29994	28154	67297	51478	110791	37747.78	17953	57543	2.645	1.404	4.351	1.35639804817434e-05	0.00105655429140733	0.1945	0.1515	0.1791	0.1791	TRUE	0.2657
LOC124712552	0	0	2	0	1	6	24	1	7	17	0	0	1	0	1	7	25	1	5	38	7.87	0	15	10.34	3.37	3.864	0.0001115915905996	0.00548734945088019	1.233	0.6763	1.0493	1.0493	TRUE	0.1256
LOC124713151	0	2	3	1	1	76	71	4	2	3	0	2	2	1	1	92	74	3	1	7	18.33	1	35	15.681	3.971	4.264	2.0092453805708e-05	0.00144600148529992	1.5242	0.3768	1.2026	1.2026	TRUE	0.0637
LOC124716714	2044	1028	724	2038	1200	306	334	463	777	159	2198	1126	498	1529	1023	371	346	388	555	360	839.46	1275	404	0.373	-1.424	-4.587	4.50489089067766e-06	0.000430419011374895	0.1543	0.1563	0.1547	0.1547	TRUE	0.1404
LOC124716732	87	97	134	156	68	38	48	49	52	10	94	106	92	117	58	46	50	41	37	23	66.36	93	39	0.49	-1.03	-4.39	1.13419722012346e-05	0.000915795096882612	0.0446	0.2136	0.0737	0.0737	TRUE	0.3528
