Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC124788222	906	2341	8548	5608	2191	12	27	72	74	12	974	2564	5874	4207	1868	15	28	60	53	27	1567.15	3097	37	0.013	-6.244	-12.402	2.56130693917073e-35	1.69584132442494e-31	0.3485	0.154	0.3025	0.3025	TRUE	0.0775
LOC124722326	124	194	214	249	122	3	6	9	10	0	133	213	147	187	104	4	6	8	7	0	80.83	157	5	0.038	-4.731	-11.74	7.91871161088589e-32	2.62148947878377e-28	0.0694	0.2025	0.1019	0.1019	TRUE	0.095
LOC124802700	178	225	302	553	237	13	1	12	24	4	191	246	208	415	202	16	1	10	17	9	131.55	252	11	0.046	-4.441	-9.83	8.38863117946872e-23	1.85137090130875e-19	0.2131	0.1828	0.2028	0.2028	TRUE	1.0889
LOC124775105	115	111	138	87	94	7	0	4	6	0	124	122	95	65	80	8	0	3	4	0	50.17	97	3	0.039	-4.675	-9.518	1.77084768208556e-21	3.34993785802528e-18	0.0881	0.2337	0.1459	0.1459	TRUE	0.4178
LOC124720060	241	261	439	411	174	1	0	1	16	0	259	286	302	308	148	1	0	1	11	0	131.7	261	3	0.015	-6.095	-8.917	4.76946507553882e-19	7.01747294780945e-16	0.716	0.1828	0.434	0.434	TRUE	5.1529
LOC124789136	37	230	438	142	134	0	1	0	1	0	40	252	301	107	114	0	1	0	1	0	81.53	163	0	0.005	-7.773	-8.072	6.91713584491488e-16	7.04590098910483e-13	0	0.2021	0.3898	0.3898	TRUE	0.0524
LOC124789002	17	141	1150	478	133	0	1	0	0	0	18	154	790	359	113	0	1	0	0	0	143.61	287	0	0.002	-8.755	-7.973	1.5482344792523e-15	1.36678139828393e-12	1.3419	0.1802	0.8419	0.8419	TRUE	0.236
LOC124789650	28	176	1101	374	128	0	0	2	0	0	30	193	757	281	109	0	0	2	0	0	137.09	274	0	0.003	-8.273	-7.828	4.9654779783077e-15	3.8678152581618e-12	1.1771	0.1815	0.7347	0.7347	TRUE	0.3574
LOC124777599	13337	5187	3532	4376	905	181	288	257	357	98	14343	5682	2427	3283	772	220	299	215	255	222	2771.74	5301	242	0.052	-4.276	-7.581	3.43780272069578e-14	2.16778017273588e-11	0.5184	0.1529	0.4118	0.4118	TRUE	0.3863
LOC124788242	19	35	131	62	54	0	0	0	0	0	20	38	90	47	46	0	0	0	0	0	24.14	48	0	0.007	-7.225	-7.584	3.34806422591593e-14	2.16778017273588e-11	0.272	0.3225	0.2902	0.2902	TRUE	0.2005
LOC124712054	42	53	73	96	72	1	0	1	0	0	45	58	50	72	61	1	0	1	0	0	28.89	57	0	0.011	-6.503	-7.553	4.24348228720272e-14	2.55419056577902e-11	0	0.2944	0.0849	0.0849	TRUE	0.1433
