Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC124798514	10	8	13	14	19	107	116	167	207	84	11	9	9	11	16	130	120	140	148	190	78.31	11	146	12.714	3.668	13.16	1.48227308632389e-39	1.96282602091009e-35	0	0.2041	0.0518	0.0518	TRUE	0.2975
LOC124798525	5	2	2	3	4	289	258	105	278	156	5	2	1	2	3	351	268	88	199	353	127.23	3	252	79.155	6.307	11.744	7.59146270242018e-32	2.62148947878377e-28	0.2159	0.1839	0.2078	0.2078	TRUE	0.0994
LOC124712031	8	3	15	1	2	264	190	222	267	144	9	3	10	1	2	320	197	186	191	326	124.45	5	244	44.988	5.491	11.166	6.01114685525818e-29	1.59199213314658e-25	0.2334	0.1846	0.2132	0.2132	TRUE	0.3605
LOC124777333	11	24	59	35	19	141	172	177	249	89	12	26	41	26	16	171	178	148	178	201	99.81	24	175	6.814	2.769	9.267	1.91771126706466e-20	3.17429157480878e-17	0.0603	0.1928	0.0908	0.0908	TRUE	1.074
LOC124805215	126	53	128	142	137	1090	854	2320	3372	3785	136	58	88	107	117	1322	886	1942	2411	8560	1562.65	101	3024	26.858	4.747	8.804	1.32077746163697e-18	1.74897351469968e-15	0.4334	0.154	0.368	0.368	TRUE	1.2838
LOC124804688	129	22	79	113	81	1083	746	1780	2305	3292	139	24	54	85	69	1314	774	1490	1648	7445	1304.22	74	2534	29.852	4.9	8.222	2.00447851734146e-16	2.4130276842396e-13	0.5534	0.1546	0.4548	0.4548	TRUE	2.8722
LOC124804802	113	57	119	88	86	418	236	564	542	285	122	62	82	66	73	507	245	472	387	645	266.13	81	451	5.26	2.395	8.164	3.24996706005638e-16	3.58633865077221e-13	0.0879	0.1669	0.1037	0.1037	TRUE	0.0992
LOC124804691	0	0	0	1	2	78	99	140	90	204	0	0	0	1	2	95	103	117	64	461	84.27	1	168	200.535	7.648	8.04	8.99845379664873e-16	8.51125179823018e-13	0.62	0.2004	0.4622	0.4622	TRUE	2.8394
LOC124804687	91	63	83	72	116	368	484	1123	1904	1455	98	69	57	54	99	446	502	940	1361	3291	691.75	75	1308	15.742	3.977	7.912	2.52563776269746e-15	2.09028095335248e-12	0.366	0.1574	0.3189	0.3189	TRUE	0.4555
LOC124805172	0	0	0	0	0	21	19	60	87	18	0	0	0	0	0	25	20	50	62	41	19.83	0	40	156.96	7.294	7.717	1.18939198364408e-14	8.74996035967493e-12	0.2063	0.3597	0.2596	0.2596	TRUE	0.0508
LOC124791362	72	66	126	156	110	201	219	374	537	126	77	72	87	117	94	244	227	313	384	285	190.02	89	291	3.083	1.624	7.59	3.20811517134853e-14	2.16778017273588e-11	0.0354	0.1731	0.0531	0.0531	TRUE	0.1888
LOC124799270	6	7	2	15	3	42	211	87	136	121	6	8	1	11	3	51	219	73	97	274	74.29	6	143	21.34	4.416	7.44	1.00505114170206e-13	5.7864727036603e-11	0.4462	0.207	0.3812	0.3812	TRUE	0.0707
LOC124789762	1	4	4	2	3	164	2	350	301	292	1	4	3	2	3	199	2	293	215	660	138.19	3	274	81.058	6.341	7.419	1.17654488527273e-13	6.49158640449231e-11	1.09	0.1813	0.8285	0.8285	TRUE	0.1614
LOC124805478	4	1	6	6	3	74	25	125	77	150	4	1	4	5	3	90	26	105	55	339	63.12	3	123	30.493	4.93	7.392	1.44509146393514e-13	7.65436046617163e-11	0.535	0.2168	0.4539	0.4539	TRUE	0.6826
LOC124711568	7	16	10	13	6	37	77	85	177	74	8	18	7	10	5	45	80	71	127	167	53.66	10	98	9.685	3.276	7.374	1.65979150588017e-13	8.45344581571741e-11	0.1935	0.2284	0.2013	0.2013	TRUE	0.1212
LOC124717267	3	10	6	5	3	24	41	52	94	30	3	11	4	4	3	29	43	44	67	68	27.49	5	50	9.551	3.256	7.234	4.68335820248906e-13	2.29692701175408e-10	0.1074	0.3017	0.1592	0.1592	TRUE	0.3134
LOC124789780	3	1	2	2	7	36	31	30	49	12	3	1	1	2	6	44	32	25	35	27	17.63	3	33	11.346	3.504	7.094	1.30102605130476e-12	5.94075412806126e-10	0.0215	0.3857	0.1334	0.1334	TRUE	0.645
LOC124803056	0	2	1	2	0	29	37	21	73	23	0	2	1	2	0	35	38	18	52	52	19.97	1	39	36.297	5.182	7.088	1.36095723454224e-12	6.00726523326945e-10	0	0.3582	0.2031	0.2031	TRUE	0.172
LOC124795919	0	1	2	3	0	88	54	156	11	42	0	1	1	2	0	107	56	131	8	95	40.1	1	79	58.583	5.872	6.997	2.61090297335204e-12	1.08042428666024e-09	0.6716	0.2544	0.5312	0.5312	TRUE	0.1404
LOC124802921	307	71	159	52	133	820	861	2435	3289	1998	330	78	109	39	113	995	893	2039	2351	4519	1146.64	134	2159	14.24	3.832	6.896	5.33783877547672e-12	2.07893120779008e-09	0.4818	0.155	0.403	0.403	TRUE	0.3997
LOC124795391	24	23	20	32	18	137	117	176	319	431	26	25	14	24	15	166	121	147	228	975	174.19	21	327	13.865	3.793	6.839	7.99616130491256e-12	3.02529051427578e-09	0.4451	0.1751	0.3824	0.3824	TRUE	4.3135
LOC124802814	78	84	101	98	42	211	415	878	972	1099	84	92	69	74	36	256	431	735	695	2485	495.67	71	920	11.544	3.529	6.739	1.59176608733333e-11	5.85504625790777e-09	0.4132	0.1597	0.3546	0.3546	TRUE	0.983
LOC124798455	152	116	334	242	203	291	508	986	1183	251	163	127	230	182	173	353	527	826	846	568	399.37	175	624	3.296	1.721	6.453	1.09864113553922e-10	3.73030920943857e-08	0.0811	0.1617	0.0935	0.0935	TRUE	0.085
LOC124795472	1	4	2	6	3	89	70	82	8	50	1	4	1	5	3	108	73	69	6	113	38.19	3	74	21.778	4.445	6.429	1.28846050798136e-10	4.26544851167229e-08	0.5592	0.2595	0.4813	0.4813	TRUE	0.1888
LOC124717260	2	1	8	3	7	6	24	570	155	191	2	1	5	2	6	7	25	477	111	432	106.92	3	210	44.653	5.481	6.393	1.62355921561664e-10	5.24370027638917e-08	1.1756	0.19	0.9024	0.9024	TRUE	0.0392
LOC124718860	13	12	17	21	19	41	72	64	78	63	14	13	12	16	16	50	75	54	56	142	44.7	14	75	4.728	2.241	6.389	1.66940820017666e-10	5.26340556827127e-08	0.1017	0.2438	0.1275	0.1275	TRUE	0.9516
LOC124720306	0	0	0	1	0	13	35	28	15	14	0	0	0	1	0	16	36	23	11	32	11.87	0	24	64.015	6	6.3	2.96948025480803e-10	8.93678580321999e-08	0	0.4995	0.2914	0.2914	TRUE	0.1632
LOC124800984	32	36	66	108	61	174	170	161	240	64	34	39	45	81	52	211	176	135	172	145	109.08	50	168	3.058	1.612	6.274	3.51352264401679e-10	1.03391259671267e-07	0.0565	0.1893	0.0785	0.0785	TRUE	0.739
LOC124791378	25	18	17	34	25	52	72	168	155	31	27	20	12	26	21	63	75	141	111	70	56.45	21	92	4.029	2.011	6.254	4.00199290817194e-10	1.15205195847854e-07	0.0898	0.2246	0.1143	0.1143	TRUE	0.1698
LOC124789749	2	0	2	3	1	6	4	121	223	172	2	0	1	2	1	7	4	101	159	389	66.78	1	132	62.949	5.976	6.11	9.95922311401207e-10	2.74750067657808e-07	1.46	0.2133	1.0757	1.0757	TRUE	0.2236
LOC124798547	117	35	47	51	41	320	144	429	623	206	126	38	32	38	35	388	149	359	445	466	207.78	54	361	5.987	2.582	6.038	1.55683433336138e-09	4.20726535558599e-07	0.2581	0.1713	0.2393	0.2393	TRUE	2.0308
LOC124777064	228	253	171	458	128	409	1494	1222	2493	1122	245	277	118	344	109	496	1550	1023	1782	2538	848.17	219	1478	5.996	2.584	5.977	2.27741047702774e-09	6.03149390736026e-07	0.2799	0.1563	0.2532	0.2532	TRUE	0.0771
