Id	SPICE_S_Iso_SRR11815195	SPICE_S_Iso_SRR11815196	SPICE_S_Iso_SRR11815207	SPICE_S_Iso_SRR11815218	SPICE_S_Iso_SRR11815229	SPICE_G_Crd_SRR11815262	SPICE_G_Crd_SRR11815264	SPICE_G_Crd_SRR11815265	SPICE_G_Crd_SRR11815266	SPICE_G_Crd_SRR11815267	norm.SPICE_S_Iso_SRR11815195	norm.SPICE_S_Iso_SRR11815196	norm.SPICE_S_Iso_SRR11815207	norm.SPICE_S_Iso_SRR11815218	norm.SPICE_S_Iso_SRR11815229	norm.SPICE_G_Crd_SRR11815262	norm.SPICE_G_Crd_SRR11815264	norm.SPICE_G_Crd_SRR11815265	norm.SPICE_G_Crd_SRR11815266	norm.SPICE_G_Crd_SRR11815267	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126266725	45	39	38	55	90	88	73	194	134	154	58	51	27	35	82	117	89	159	160	126	90.42	51	130	2.091	1.064	4.533	5.8056395055826e-06	0.0001771825885299	0.1017	0.085	0.0965	0.0965	TRUE	0.4713
LOC126266765	1	3	3	6	3	31	40	68	16	24	1	4	2	4	3	41	49	56	19	20	19.81	3	37	10.257	3.359	6.776	1.23305067964501e-11	2.22609064953376e-09	0	0.2296	0.1808	0.1808	TRUE	0.0387
LOC126266796	90	67	170	130	121	153	243	303	452	246	117	87	122	84	110	203	295	249	541	201	200.79	104	298	2.522	1.335	5.331	9.78790042555849e-08	7.16921758027478e-06	0.1024	0.0627	0.0907	0.0907	TRUE	1.05
LOC126267090	32	4	89	7	100	1	3	0	1	0	41	5	64	5	91	1	4	0	1	0	21.22	41	1	0.06	-4.054	-5.11	3.22654390371529e-07	1.92362045385221e-05	1.2398	0.2173	0.7637	0.7637	TRUE	0.1422
LOC126267259	348	286	588	768	553	105	98	119	116	157	451	373	423	494	502	139	119	98	139	128	286.58	449	125	0.28	-1.838	-12.162	4.94858356357109e-34	1.58577360294636e-30	0.0125	0.0572	0.0226	0.0226	TRUE	0.168
LOC126267263	1170	876	4191	1975	1588	2716	2302	6062	4867	4996	1517	1142	3013	1271	1442	3598	2794	4972	5823	4087	2965.84	1677	4255	2.102	1.072	4.751	2.02673732723133e-06	7.77805959893748e-05	0.1182	0.0456	0.0956	0.0956	TRUE	0.4722
LOC126267269	107	48	85	93	66	147	166	427	311	213	139	63	61	60	60	195	201	350	372	174	167.49	77	258	3.111	1.637	5.624	1.86241329729478e-08	1.76832693664626e-06	0.131	0.0663	0.1104	0.1104	TRUE	0.2392
LOC126267280	307	252	854	776	373	892	736	1443	1044	1191	398	328	614	499	339	1182	893	1183	1249	974	766.03	436	1096	2.335	1.223	6.707	1.98392864136573e-11	3.48356127740082e-09	0.0461	0.0492	0.0455	0.0455	TRUE	0.5767
LOC126267291	2	3	4	0	1	12	25	14	11	25	3	4	3	0	1	16	30	11	13	20	10.16	2	18	6.889	2.784	4.95	7.40894294423415e-07	3.61094413152827e-05	0.1301	0.4054	0.2519	0.2519	TRUE	0.3988
LOC126267358	2	3	28	51	5	42	28	106	99	105	3	4	20	33	5	56	34	87	118	86	44.49	13	76	4.069	2.025	4.29	1.78347389597267e-05	0.0004316211506411	0.5404	0.1269	0.3717	0.3717	TRUE	0.4893
LOC126267422	6	9	14	12	10	80	51	14	89	112	8	12	10	8	9	106	62	11	106	92	42.38	9	75	6.766	2.758	6.019	1.75464641582807e-09	2.10196801477423e-07	0.3015	0.131	0.2452	0.2452	TRUE	0.2461
LOC126267457	1	1	0	0	0	2	5	22	5	2	1	1	0	0	0	3	6	18	6	2	3.7	0	7	2.73	1.449	3.361	0.000776523404837432	0.00733491304584097	0.6832	1.0366	0.8205	0.8205	TRUE	0.6744
LOC126267478	715	1090	2200	3504	969	1385	4934	4695	5590	8423	927	1420	1582	2254	880	1835	5989	3851	6688	6891	3231.62	1413	5051	3.179	1.669	5.261	1.43087900432283e-07	9.86075649323119e-06	0.1992	0.0455	0.1461	0.1461	TRUE	0.1763
LOC126267514	7	31	26	6	83	123	207	406	321	385	9	40	19	4	75	163	251	333	384	315	159.36	29	289	6.798	2.765	4.831	1.35722435972955e-06	5.74322442879839e-05	0.5414	0.0674	0.3446	0.5414	TRUE	1.3565
LOC126267547	10	0	46	37	53	56	33	254	403	226	13	0	33	24	48	74	40	208	482	185	110.76	24	198	2.485	1.313	3.29	0.00100343697134387	0.00880900274113422	1.017	0.0775	0.567	1.017	TRUE	0.2799
LOC126267556	0	1	0	14	2	8	27	60	34	44	0	1	0	9	2	11	33	49	41	36	18.14	2	34	8.058	3.01	4.852	1.22178545586871e-06	5.34499862570822e-05	0.7893	0.2467	0.4953	0.4953	TRUE	1.9947
LOC126267588	90	131	142	170	110	26	9	35	11	25	117	171	102	109	100	34	11	29	13	20	70.65	120	21	0.193	-2.374	-8.05	8.25565987053243e-16	3.77932315073159e-13	0.0761	0.0963	0.084	0.084	TRUE	0.5447
LOC126267652	8	5	31	25	27	15	22	86	109	81	10	7	22	16	25	20	27	71	130	66	39.36	16	63	2.527	1.337	3.816	0.00013550625005867	0.00196040531969756	0.3514	0.1376	0.2773	0.2773	TRUE	0.2016
LOC126267730	1	0	1	1	4	110	128	88	55	60	1	0	1	1	4	146	155	72	66	49	49.44	1	98	58.698	5.875	9.225	2.82657539137275e-20	2.78700333589353e-17	0.2464	0.1186	0.1882	0.1882	TRUE	0.2633
LOC126267831	2	4	10	11	3	11	15	24	13	19	3	5	7	7	3	15	18	20	16	16	10.84	5	17	2.146	1.102	3.734	0.000188642709899758	0.00249280644896402	0	0.383	0.1255	0.1255	TRUE	0.1709
LOC126267876	121	53	207	208	337	130	487	700	921	642	157	69	149	134	306	172	591	574	1102	525	377.92	163	593	2.832	1.502	4.367	1.25686239874055e-05	0.00033217447890838	0.3069	0.0541	0.2145	0.2145	TRUE	0.1777
LOC126267901	0	0	2	1	2	17	55	9	8	4	0	0	1	1	2	23	67	7	10	3	11.34	1	22	10.401	3.379	4.536	5.71989724866765e-06	0.000175401059649335	0.9164	0.368	0.7053	0.7053	TRUE	0.6472
LOC126267924	4	0	20	19	9	0	0	0	0	1	5	0	14	12	8	0	0	0	0	1	4.08	8	0	0.229	-2.129	-3.72	0.000199300118240833	0.00261744765943749	0.9712	0.9441	0.9551	0.9551	TRUE	0.1096
LOC126267981	1	3	10	4	8	15	19	17	12	22	1	4	7	3	7	20	23	14	14	18	11.15	4	18	2.682	1.423	3.985	6.76181746793168e-05	0.00117125643653984	0.0036	0.3736	0.157	0.157	TRUE	0.3037
LOC126268014	3	5	5	4	7	9	22	13	23	35	4	7	4	3	6	12	27	11	28	29	12.84	5	21	3.591	1.844	4.368	1.25405639310445e-05	0.000332117662124233	0	0.3302	0.1877	0.1877	TRUE	0.0662
LOC126268046	2	1	7	5	7	457	388	2	0	3	3	1	5	3	6	605	471	2	0	2	109.89	4	216	3.522	1.817	3.629	0.000284424974593006	0.00348210059630673	2.9972	0.0778	1.6581	2.9972	TRUE	0.0671
LOC126268068	243	198	830	956	702	337	596	2099	2851	1926	315	258	597	615	637	446	723	1721	3411	1576	1030.03	484	1575	2.205	1.14	3.807	0.000140748254062168	0.00201699933459871	0.3406	0.048	0.2383	0.2383	TRUE	0.2738
LOC126268116	37	53	49	63	39	115	110	175	120	166	48	69	35	41	35	152	134	144	144	136	93.7	46	142	3.081	1.624	8.066	7.28238062348451e-16	3.45724277154905e-13	0.0108	0.0836	0.0369	0.0369	TRUE	0.5584
LOC126268128	20522	28549	31417	28338	37444	32459	51245	82780	126983	63676	26614	37203	22587	18232	33997	43000	62198	67891	151930	52091	51574.43	27727	75422	2.164	1.114	4.443	8.88673816308636e-06	0.000247280484251518	0.2089	0.0445	0.1268	0.1268	TRUE	1.5672
LOC126268222	26	20	82	68	49	141	150	117	81	86	34	26	59	44	44	187	182	96	97	70	83.9	41	126	2.534	1.341	4.838	1.31039833211999e-06	5.61762067595789e-05	0.1253	0.0881	0.1138	0.1138	TRUE	0.0574
LOC126268224	12	12	8	25	16	92	118	121	148	154	16	16	6	16	15	122	143	99	177	126	73.5	14	133	9.366	3.227	11.283	1.5843163567014e-29	3.38462784336642e-26	0.0482	0.0943	0.0653	0.0653	TRUE	0.3401
LOC126268660	2	0	4	2	2	89	75	1	1	5	3	0	3	1	2	118	91	1	1	4	22.36	2	43	2.648	1.405	3.359	0.000783128702795347	0.0073701495685982	1.9936	0.2085	1.2733	1.9936	TRUE	0.071
LOC126268728	901	331	1301	1936	1602	827	1556	4994	6297	3555	1168	431	935	1246	1455	1096	1889	4096	7534	2908	2275.75	1047	3505	2.392	1.258	4.007	6.15988497869194e-05	0.00109359287613398	0.3271	0.046	0.2266	0.2266	TRUE	0.291
LOC126269384	881	579	867	1570	729	345	179	243	183	387	1143	755	623	1010	662	457	217	199	219	317	560.15	839	282	0.365	-1.455	-5.938	2.88957461533263e-09	3.30701494815479e-07	0.0953	0.0509	0.0819	0.0819	TRUE	0.3089
LOC126269625	351	305	541	736	629	169	148	236	150	252	455	397	389	474	571	224	180	194	179	206	326.89	457	197	0.451	-1.148	-8.163	3.26237831542771e-16	1.78075449262096e-13	0.0146	0.0556	0.023	0.023	TRUE	0.2312
LOC126271859	0	0	237	0	257	0	0	0	0	0	0	0	170	0	233	0	0	0	0	0	40.37	81	0	0	-22.701	-7.75	9.18478467975356e-15	3.18190729797517e-12	10	0.1353	3.4655	10	TRUE	0.0762
LOC126271867	5	10	29	25	38	86	73	44	38	61	6	13	21	16	35	114	89	36	45	50	42.49	18	67	2.704	1.435	4.218	2.46710758492481e-05	0.000551623656648926	0.232	0.1307	0.1966	0.1966	TRUE	0.2047
LOC126271932	506	640	1263	1017	875	301	191	307	192	357	656	834	908	654	794	399	232	252	230	292	525.12	769	281	0.378	-1.402	-7.869	3.56549463276939e-15	1.38492455160115e-12	0.0343	0.0514	0.0386	0.0386	TRUE	0.4114
LOC126271968	93	124	227	313	261	52	42	70	43	76	121	162	163	201	237	69	51	57	51	62	117.46	177	58	0.341	-1.553	-7.401	1.35306808431407e-13	3.69013334143357e-11	0.0342	0.0756	0.0449	0.0449	TRUE	0.1042
LOC126272130	2	1	5	7	1	7	9	7	21	17	3	1	4	5	1	9	11	6	25	14	7.79	3	13	2.387	1.255	3.45	0.000559929351022865	0.00577872336667559	0.1854	0.5156	0.2962	0.2962	TRUE	0.3369
