Id	SPICE_S_Iso_SRR11815195	SPICE_S_Iso_SRR11815196	SPICE_S_Iso_SRR11815207	SPICE_S_Iso_SRR11815218	SPICE_S_Iso_SRR11815229	SPICE_G_Crd_SRR11815262	SPICE_G_Crd_SRR11815264	SPICE_G_Crd_SRR11815265	SPICE_G_Crd_SRR11815266	SPICE_G_Crd_SRR11815267	norm.SPICE_S_Iso_SRR11815195	norm.SPICE_S_Iso_SRR11815196	norm.SPICE_S_Iso_SRR11815207	norm.SPICE_S_Iso_SRR11815218	norm.SPICE_S_Iso_SRR11815229	norm.SPICE_G_Crd_SRR11815262	norm.SPICE_G_Crd_SRR11815264	norm.SPICE_G_Crd_SRR11815265	norm.SPICE_G_Crd_SRR11815266	norm.SPICE_G_Crd_SRR11815267	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126267259	348	286	588	768	553	105	98	119	116	157	451	373	423	494	502	139	119	98	139	128	286.58	449	125	0.28	-1.838	-12.162	4.94858356357109e-34	1.58577360294636e-30	0.0125	0.0572	0.0226	0.0226	TRUE	0.168
LOC126353962	536	796	2272	2479	1046	7	11	68	50	58	695	1037	1633	1595	950	9	13	56	60	47	609.62	1182	37	0.036	-4.795	-11.885	1.42334653116732e-32	3.64889116730054e-29	0.308	0.0504	0.1962	0.1962	TRUE	0.117
LOC126284240	377	534	479	1637	1283	33	53	43	72	96	489	696	344	1053	1165	44	64	35	86	79	405.53	749	62	0.091	-3.461	-10.273	9.36568422186132e-25	1.71499057651169e-21	0.1835	0.0534	0.1387	0.1387	TRUE	0.0396
LOC126305061	150	209	357	341	210	0	0	1	1	0	195	272	257	219	191	0	0	1	1	0	113.56	227	0	0.003	-8.634	-9.795	1.18798102997472e-22	1.90344260527699e-19	0	0.0767	0.0412	0.0412	TRUE	0.1646
LOC126281868	166637	135646	263534	317832	237195	80222	80581	143108	87380	136388	216106	176766	189468	204485	215362	106274	97805	117368	104546	111574	153975.43	200437	107513	0.554	-0.851	-9.316	1.20563727781421e-20	1.40489623882023e-17	0.006	0.0444	0.0112	0.0112	TRUE	0.0545
LOC126353961	67	149	809	623	287	9	15	24	17	30	87	194	582	401	261	12	18	20	20	25	161.88	305	19	0.073	-3.784	-9.298	1.42683751170241e-20	1.52410026875013e-17	0.2617	0.0671	0.1929	0.1929	TRUE	0.0893
LOC126335513	93	121	257	258	198	35	27	52	50	46	121	158	185	166	180	46	33	43	60	38	102.81	162	44	0.276	-1.859	-9.003	2.19159366464407e-19	1.87278983956052e-16	0.0202	0.0801	0.0382	0.0382	TRUE	0.2968
LOC126281323	156	156	259	424	220	49	77	85	45	75	202	203	186	273	200	65	93	70	54	61	140.76	213	69	0.33	-1.601	-8.433	3.38263547001524e-17	2.28203270813975e-14	0.0229	0.0705	0.0353	0.0353	TRUE	0.3366
LOC126292048	42	34	99	48	86	0	0	0	0	0	54	44	71	31	78	0	0	0	0	0	27.89	56	0	0.005	-7.579	-8.328	8.23509101163584e-17	5.0265426946261e-14	0.1259	0.1759	0.1478	0.1478	TRUE	0.0521
LOC126269625	351	305	541	736	629	169	148	236	150	252	455	397	389	474	571	224	180	194	179	206	326.89	457	197	0.451	-1.148	-8.163	3.26237831542771e-16	1.78075449262096e-13	0.0146	0.0556	0.023	0.023	TRUE	0.2312
LOC126273124	449	397	788	844	646	242	221	367	184	346	582	517	567	543	587	321	268	301	220	283	418.87	559	279	0.525	-0.93	-8.079	6.5530029811288e-16	3.2306304696965e-13	0.0057	0.0532	0.0158	0.0158	TRUE	0.1508
LOC126267588	90	131	142	170	110	26	9	35	11	25	117	171	102	109	100	34	11	29	13	20	70.65	120	21	0.193	-2.374	-8.05	8.25565987053243e-16	3.77932315073159e-13	0.0761	0.0963	0.084	0.084	TRUE	0.5447
LOC126284656	801	335	1043	1834	1350	88	141	158	232	150	1039	437	750	1180	1226	117	171	130	278	123	544.85	926	164	0.188	-2.409	-8.002	1.22746049154087e-15	5.42537537261065e-13	0.1438	0.0511	0.1139	0.1139	TRUE	0.2387
LOC126319999	131	134	262	318	213	67	53	82	51	109	170	175	188	205	193	89	64	67	61	89	130.14	186	74	0.416	-1.267	-7.969	1.60270443615207e-15	6.84782182086574e-13	0.0049	0.0726	0.0238	0.0238	TRUE	0.1421
LOC126271932	506	640	1263	1017	875	301	191	307	192	357	656	834	908	654	794	399	232	252	230	292	525.12	769	281	0.378	-1.402	-7.869	3.56549463276939e-15	1.38492455160115e-12	0.0343	0.0514	0.0386	0.0386	TRUE	0.4114
LOC126353959	104	194	1188	905	282	17	32	45	36	11	135	253	854	582	256	23	39	37	43	9	223.04	416	30	0.087	-3.524	-7.835	4.67819807981545e-15	1.7132897996307e-12	0.3892	0.0608	0.2631	0.2631	TRUE	0.1237
LOC126271859	0	0	237	0	257	0	0	0	0	0	0	0	170	0	233	0	0	0	0	0	40.37	81	0	0	-22.701	-7.75	9.18478467975356e-15	3.18190729797517e-12	10	0.1353	3.4655	10	TRUE	0.0762
LOC126353960	22	49	60	51	54	2	1	2	0	2	29	64	43	33	49	3	1	2	0	2	22.45	44	2	0.045	-4.466	-7.686	1.51340815509789e-14	5.10496466632755e-12	0	0.2078	0.1192	0.1192	TRUE	0.112
LOC126284428	551	502	1284	1653	1226	292	273	349	279	284	715	654	923	1063	1113	387	331	286	334	232	603.91	894	314	0.364	-1.458	-7.626	2.41389534959431e-14	7.73532764777498e-12	0.0432	0.0505	0.045	0.045	TRUE	0.0618
LOC126271968	93	124	227	313	261	52	42	70	43	76	121	162	163	201	237	69	51	57	51	62	117.46	177	58	0.341	-1.553	-7.401	1.35306808431407e-13	3.69013334143357e-11	0.0342	0.0756	0.0449	0.0449	TRUE	0.1042
LOC126321023	9669	9251	17214	22952	14473	5932	6297	10047	5783	10419	12539	12055	12376	14767	13141	7858	7643	8240	6919	8523	10406.21	12976	7837	0.624	-0.679	-7.364	1.78006954851816e-13	4.65651662712363e-11	0.0064	0.0447	0.0116	0.0116	TRUE	0.0745
LOC126284606	225	28	351	324	189	19	18	14	24	19	292	36	252	208	172	25	22	11	29	16	106.34	192	21	0.124	-3.017	-7.207	5.7101504481038e-13	1.3307765171599e-10	0.2899	0.0789	0.2143	0.2143	TRUE	0.1892
LOC126277939	46665	33559	78883	96613	67791	22028	25012	41268	24071	40754	60518	43732	56713	62158	61551	29182	30358	33845	28800	33339	44019.72	56934	31105	0.577	-0.795	-7.048	1.81479795075833e-12	3.81345575947874e-10	0.0119	0.0445	0.0184	0.0184	TRUE	0.2098
LOC126338041	4172	4579	6919	7909	6580	2370	2719	4388	2901	4469	5411	5967	4974	5088	5974	3140	3300	3599	3471	3656	4458.03	5483	3433	0.646	-0.631	-7.036	1.98344420686808e-12	4.10061094252178e-10	0.0054	0.0452	0.0108	0.0108	TRUE	0.0336
LOC126267991	120936	114171	211574	246179	184440	76540	71666	121777	87881	136637	156838	148781	152111	158385	167463	101396	86984	99874	105146	111778	128875.63	156716	101036	0.662	-0.594	-6.877	6.09190196970931e-12	1.18312120375355e-09	0.0051	0.0444	0.0102	0.0102	TRUE	0.0755
LOC126353964	104	95	175	216	228	24	15	77	24	30	135	124	126	139	207	32	18	63	29	25	89.69	146	33	0.245	-2.027	-6.685	2.30301740395466e-11	3.98919960593119e-09	0.1098	0.0853	0.1015	0.1015	TRUE	2.0279
LOC126321992	139	125	238	283	218	67	52	115	57	118	180	163	171	182	198	89	63	94	68	97	130.52	179	82	0.503	-0.992	-6.608	3.89190163761301e-11	6.65151935878981e-09	0.0061	0.0725	0.0249	0.0249	TRUE	0.1507
LOC126284279	19	26	28	49	40	0	0	2	0	4	25	34	20	32	36	0	0	2	0	3	15.14	29	1	0.06	-4.053	-6.554	5.60490356151777e-11	9.33034465604348e-09	0.0336	0.2867	0.1454	0.1454	TRUE	0.7596
LOC126272873	284	33	350	282	209	8	13	19	21	58	368	43	252	181	190	11	16	16	25	47	114.87	207	23	0.134	-2.895	-6.394	1.61686733628897e-10	2.62341841981671e-08	0.3835	0.0763	0.268	0.268	TRUE	0.1335
LOC126355489	17	13	48	49	37	3	3	4	1	1	22	17	35	32	34	4	4	3	1	1	15.15	28	3	0.112	-3.154	-6.366	1.93496709794143e-10	3.10030103267666e-08	0	0.2865	0.1357	0.1357	TRUE	0.1755
LOC126333298	165	157	321	354	244	77	63	171	85	123	214	205	231	228	222	102	76	140	102	101	161.97	220	104	0.522	-0.939	-6.291	3.14449909585234e-10	4.79835588221849e-08	0.0132	0.067	0.0274	0.0274	TRUE	0.4092
LOC126338532	389	319	621	660	464	220	158	289	201	320	504	416	446	425	421	291	192	237	240	262	343.51	442	244	0.59	-0.761	-6.256	3.95591690584697e-10	5.76504489242488e-08	0.009	0.0551	0.0192	0.0192	TRUE	0.1555
