Id	SPICE_S_Iso_SRR11815195	SPICE_S_Iso_SRR11815196	SPICE_S_Iso_SRR11815207	SPICE_S_Iso_SRR11815218	SPICE_S_Iso_SRR11815229	SPICE_G_Crd_SRR11815262	SPICE_G_Crd_SRR11815264	SPICE_G_Crd_SRR11815265	SPICE_G_Crd_SRR11815266	SPICE_G_Crd_SRR11815267	norm.SPICE_S_Iso_SRR11815195	norm.SPICE_S_Iso_SRR11815196	norm.SPICE_S_Iso_SRR11815207	norm.SPICE_S_Iso_SRR11815218	norm.SPICE_S_Iso_SRR11815229	norm.SPICE_G_Crd_SRR11815262	norm.SPICE_G_Crd_SRR11815264	norm.SPICE_G_Crd_SRR11815265	norm.SPICE_G_Crd_SRR11815266	norm.SPICE_G_Crd_SRR11815267	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126335148	167	155	446	479	372	2233	1726	7969	6325	5005	217	202	321	308	338	2958	2095	6536	7568	4094	2463.59	277	4650	15.408	3.946	12.663	9.50267617242886e-37	1.21805303178193e-32	0.1493	0.0459	0.122	0.122	TRUE	0.0484
LOC126349798	67	87	172	183	150	333	358	477	353	430	87	113	124	118	136	441	435	391	422	352	261.88	116	408	3.46	1.791	12.299	9.21145416044153e-35	5.90362097142698e-31	0.0084	0.0584	0.0206	0.0206	TRUE	0.1696
LOC126344538	9	7	23	15	15	87	100	118	132	143	12	9	17	10	14	115	121	97	158	117	66.89	12	122	9.311	3.219	12.199	3.16487583078192e-34	1.35224594663209e-30	0	0.0992	0.0461	0.0461	TRUE	0.2331
LOC126268224	12	12	8	25	16	92	118	121	148	154	16	16	6	16	15	122	143	99	177	126	73.5	14	133	9.366	3.227	11.283	1.5843163567014e-29	3.38462784336642e-26	0.0482	0.0943	0.0653	0.0653	TRUE	0.3401
LOC126282247	134	37	170	217	242	909	961	1167	1560	1110	174	48	122	140	220	1204	1166	957	1866	908	680.58	141	1220	7.973	2.995	9.534	1.51270313841283e-21	2.15442542535285e-18	0.1649	0.0498	0.1243	0.1243	TRUE	0.627
LOC126336417	13043	21496	47526	22178	8658	108959	130710	267305	268757	214279	16915	28012	34169	14269	7861	144343	158648	219226	321556	175294	112029.43	20245	203813	9.131	3.191	9.499	2.12189959413351e-21	2.71985089976034e-18	0.2002	0.0444	0.1477	0.1477	TRUE	0.4299
LOC126267730	1	0	1	1	4	110	128	88	55	60	1	0	1	1	4	146	155	72	66	49	49.44	1	98	58.698	5.875	9.225	2.82657539137275e-20	2.78700333589353e-17	0.2464	0.1186	0.1882	0.1882	TRUE	0.2633
LOC126282249	605	256	370	464	601	2156	3032	2639	3928	3098	785	334	266	299	546	2856	3680	2164	4700	2534	1816.3	446	3187	6.661	2.736	9.067	1.22311453492243e-19	1.11984872204541e-16	0.1512	0.0464	0.1166	0.1166	TRUE	0.3373
LOC126282005	86	19	66	46	43	362	263	647	483	404	112	25	47	30	39	480	319	531	578	330	249.02	51	448	8.098	3.018	8.793	1.45646833079978e-18	1.16681319151197e-15	0.1951	0.0591	0.1445	0.1445	TRUE	0.5712
LOC126278520	118	163	517	537	144	1029	867	2183	2280	1999	153	212	372	345	131	1363	1052	1790	2728	1635	978.24	243	1714	6.521	2.705	8.66	4.73267765739595e-18	3.56843895367655e-15	0.1686	0.0481	0.1247	0.1247	TRUE	0.2178
LOC126354515	0	1	0	1	0	156	204	85	111	72	0	1	0	1	0	207	248	70	133	59	71.76	0	143	256.016	8	8.614	7.04057494967459e-18	5.01367165027383e-15	0	0.0955	0.2254	0.2254	TRUE	0.1642
LOC126356215	119	72	203	248	128	239	282	490	294	448	154	94	146	160	116	317	342	402	352	366	244.89	134	356	2.557	1.354	8.405	4.27652329192792e-17	2.7408237777966e-14	0.0175	0.0594	0.0284	0.0284	TRUE	0.2612
LOC126281273	38	46	82	89	84	120	144	280	222	203	49	60	59	57	76	159	175	230	266	166	129.68	60	199	3.2	1.678	8.191	2.58054476287037e-16	1.50351921683966e-13	0.0317	0.0727	0.0423	0.0423	TRUE	0.1512
LOC126278162	110	33	74	43	91	818	1543	2082	2688	709	143	43	53	28	83	1084	1873	1708	3216	580	880.92	70	1692	18.959	4.245	8.161	3.33422591846646e-16	1.78075449262096e-13	0.3749	0.0486	0.2383	0.3749	TRUE	0.1635
LOC126272787	1175	2422	2526	4122	3666	6077	11564	11773	11082	9574	1524	3156	1816	2652	3329	8050	14036	9655	13259	7832	6530.96	2495	10566	4.07	2.025	8.145	3.78983332343128e-16	1.94312334158969e-13	0.0891	0.045	0.0782	0.0782	TRUE	0.0812
