Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC126266588	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC126266589	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC126266590	590	224	406	299	248	314	479	378	587	45	672	258	295	240	225	401	523	341	452	106	351.37	338	365	1.083	0.115	0.771700650162876	0.955016476417279	0.185	0.1242
LOC126266591	50	70	74	69	54	55	108	98	78	38	57	81	54	55	49	70	118	89	60	89	72.18	59	85	1.441	0.527	0.126317621016479	0.582516186133593	0.1271	0.21
LOC126266592	341	354	674	511	564	292	342	490	641	776	389	408	489	410	512	373	374	443	494	1824	571.43	442	702	1.583	0.663	0.102276647917349	0.53777413988773	0.194	0.1284
LOC126266593	1828	1462	2513	2969	1846	997	1345	2504	2927	233	2083	1683	1825	2384	1674	1273	1470	2262	2256	548	1745.66	1930	1562	0.81	-0.304	0.402381179543552	0.82841636243254	0.1578	0.1658
LOC126266594	157	121	202	188	165	129	106	227	237	22	179	139	147	151	150	165	116	205	183	52	148.54	153	144	0.949	-0.076	0.825721982354245	0.967324487249104	0.135	0.1603
LOC126266595	273	248	496	459	393	219	281	417	505	58	311	286	360	369	356	280	307	377	389	136	317.05	336	298	0.889	-0.169	0.568176146451459	0.894040507472542	0.1021	0.1253
LOC126266596	254	295	405	431	352	171	215	306	404	116	289	340	294	346	319	218	235	276	311	273	290.21	318	263	0.827	-0.273	0.276603519462217	0.751341946874151	0.0718	0.1271
LOC126266597	13	6	8	10	14	8	6	12	9	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
