Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC124709336	288	79	578	441	517	66	71	101	81	107	329	92	421	351	466	85	78	90	62	250	222.55	332	113	0.337	-1.571	0.000351743029642324	0.016756310187961	0.2144	0.1428
LOC124710724	251	248	237	319	214	366	354	731	655	362	287	289	173	254	193	472	389	653	505	845	406.04	239	573	2.394	1.259	3.16570140722352e-05	0.00261099492183838	0.1038	0.1292
LOC124710920	109	190	155	269	95	315	297	644	189	126	124	221	113	214	86	406	326	576	146	294	250.71	152	350	2.305	1.205	0.00149982545122851	0.0486333543877535	0.1638	0.1365
LOC124711242	94	176	162	262	221	206	210	303	431	835	107	205	118	209	199	266	231	271	332	1950	388.83	168	610	3.624	1.858	0.00042741119330357	0.0190473730177059	0.3098	0.1287
LOC124711250	517	634	1463	1435	1564	310	264	324	412	285	590	739	1065	1144	1411	400	290	290	318	666	691.19	990	393	0.395	-1.34	8.4576944978642e-05	0.00559727183176019	0.1327	0.1445
LOC124711278	9013	7777	13404	23808	18054	3540	3717	2687	7245	516	10293	9062	9759	18973	16290	4565	4084	2402	5584	1205	8221.93	12875	3568	0.277	-1.851	2.66033417488225e-05	0.00228888779041704	0.2186	0.2228
LOC124711286	21	62	52	24	44	51	55	153	203	98	24	72	38	19	40	66	60	137	156	229	84.13	39	130	3.35	1.744	0.000237651418138276	0.012567097958202	0.2411	0.2279
LOC124711290	809	323	797	847	629	89	43	229	317	17	924	376	580	675	568	115	47	205	244	40	377.39	625	130	0.21	-2.249	4.93245417742558e-07	7.6779554322405e-05	0.2159	0.1286
LOC124711346	1	10	13	20	25	6	15	72	75	70	1	12	9	16	23	8	16	64	58	163	37.06	12	62	4.973	2.314	0.00106071768330651	0.0378162962448501	0.5121	0.2544
LOC124711461	174	576	284	229	127	119	1143	1203	1738	247	199	671	207	182	115	153	1256	1075	1340	577	577.52	275	880	3.208	1.682	0.00112231074539627	0.0393770741527606	0.3014	0.1378
LOC124711537	115	330	256	388	204	239	311	570	492	1031	131	385	186	309	184	308	342	510	379	2408	514.23	239	789	3.293	1.72	0.000913879554226753	0.0337799225194451	0.303	0.1339
LOC124711548	167	108	392	206	183	368	275	943	1117	1684	191	126	285	164	165	475	302	843	861	3933	734.51	186	1283	6.871	2.781	5.50864398881138e-07	8.45576852282547e-05	0.3221	0.1468
LOC124711568	7	16	10	13	6	37	77	85	177	74	8	19	7	10	5	48	85	76	136	173	56.73	10	104	10.385	3.376	2.84726908900361e-11	9.25529940343175e-09	0.2266	0.2491
LOC124711660	105	455	831	899	608	261	468	1823	1644	5023	120	530	605	716	549	337	514	1630	1267	11732	1799.96	504	3096	6.138	2.618	0.000421599662745074	0.018879414102875	0.5864	0.1761
LOC124711682	23	40	78	31	44	15	2	13	12	10	26	47	57	25	40	19	2	12	9	23	25.98	39	13	0.324	-1.624	0.0012919404455489	0.043532090866483	0.2382	0.2509
LOC124711697	108	258	322	189	259	585	528	544	493	206	123	301	234	151	234	754	580	486	380	481	372.48	209	536	2.571	1.362	1.58908491377804e-05	0.00151401435060991	0.1125	0.1285
LOC124711752	16	32	47	33	53	0	1	0	1	7	18	37	34	26	48	0	1	0	1	16	18.21	33	4	0.08	-3.646	2.48309510600529e-07	4.49887985435581e-05	0.3442	0.2437
LOC124711754	1516	2596	3292	4235	482	2439	3535	9632	12188	3196	1731	3025	2397	3375	435	3146	3885	8611	9394	7465	4346.25	2193	6500	2.964	1.568	0.001075792923721	0.0381078954902707	0.2632	0.1999
LOC124711771	68	129	149	95	66	177	171	256	217	107	78	150	108	76	60	228	188	229	167	250	153.39	94	212	2.249	1.169	0.000434199314213	0.0192721719706108	0.1218	0.1721
LOC124711778	115	98	198	148	159	181	197	329	364	167	131	114	144	118	143	233	216	294	281	390	206.57	130	283	2.163	1.113	9.1746464415106e-05	0.00599989304565534	0.0896	0.1479
LOC124711857	9	9	22	7	14	46	42	59	56	66	10	10	16	6	13	59	46	53	43	154	41.05	11	71	6.27	2.648	1.0095712800716e-07	1.9924610334556e-05	0.2282	0.2546
LOC124711866	8	22	7	3	10	58	315	13	315	14	9	26	5	2	9	75	346	12	243	33	75.93	10	142	13.903	3.797	1.53564989192415e-06	0.000195080489718916	0.5745	0.234
LOC124711907	17	9	18	8	26	33	25	56	78	30	19	10	13	6	23	43	27	50	60	70	32.31	14	50	3.409	1.769	0.000101005100661185	0.00623808919624507	0.1982	0.2536
LOC124711910	224	68	272	420	349	64	135	57	100	24	256	79	198	335	315	83	148	51	77	56	159.77	237	83	0.352	-1.506	0.000261830679518635	0.0134593147443719	0.188	0.1678
LOC124711914	29	18	38	136	136	14	32	6	19	4	33	21	28	108	123	18	35	5	15	9	39.54	63	16	0.267	-1.907	0.00146423267210257	0.0478778091481587	0.3709	0.2545
LOC124711943	19	17	22	34	21	1	3	12	10	3	22	20	16	27	19	1	3	11	8	7	13.36	21	6	0.302	-1.727	0.000369707608158543	0.0172405421323553	0.1777	0.2371
LOC124711968	11	10	7	54	4	20	92	30	49	86	13	12	5	43	4	26	101	27	38	201	46.83	15	79	5.058	2.339	0.000795636261559063	0.0309625773336294	0.5026	0.2537
LOC124711994	27	22	78	88	32	6	2	23	17	1	31	26	57	70	29	8	2	21	13	2	25.82	43	9	0.231	-2.116	0.00011947699920366	0.00721562729616857	0.2879	0.2513
LOC124712000	2325	6684	11108	5390	4196	6495	7846	18218	23453	52917	2655	7789	8087	4295	3786	8377	8622	16286	18077	123592	20156.66	5322	34991	6.574	2.717	6.41010166841443e-05	0.00442777772745727	0.4881	0.2617
LOC124712022	1	9	8	10	1	16	235	38	29	28	1	10	6	8	1	21	258	34	22	65	42.69	5	80	14.882	3.895	6.82136874475957e-07	9.66535479065164e-05	0.5436	0.2542
LOC124712031	8	3	15	1	2	264	190	222	267	144	9	3	11	1	2	340	209	198	206	336	131.6	5	258	47.932	5.583	1.03589520937501e-26	3.81623795133755e-23	0.1929	0.1872
LOC124712049	1661	1193	6722	2068	1452	3771	4476	7364	6279	3118	1897	1390	4894	1648	1310	4863	4919	6583	4840	7282	3962.63	2228	5697	2.557	1.354	0.000799850777591577	0.0310173712068144	0.1889	0.197
LOC124712054	42	53	73	96	72	1	0	1	0	0	48	62	53	77	65	1	0	1	0	0	30.65	61	0	0.009	-6.746	8.93311871611853e-24	1.97457656101084e-20	0.1712	0.2535
LOC124712226	27	27	109	34	23	0	0	8	5	4	31	31	79	27	21	0	0	7	4	9	20.99	38	4	0.103	-3.278	2.65648239042461e-07	4.66022910777346e-05	0.3174	0.2472
LOC124712350	9	19	15	12	3	33	68	37	21	9	10	22	11	10	3	43	75	33	16	21	24.32	11	38	3.402	1.766	0.00113567673818492	0.0395946350486426	0.2871	0.2494
LOC124712464	800	783	1534	1039	628	215	392	343	318	204	914	912	1117	828	567	277	431	307	245	476	607.38	868	347	0.399	-1.325	1.54896752975592e-05	0.00148862514250978	0.1069	0.1396
LOC124712519	815	885	1680	1695	1619	1859	1636	5091	5471	5108	931	1031	1223	1351	1461	2398	1798	4551	4217	11930	3089.03	1199	4979	4.149	2.053	7.10405750320278e-06	0.000769745524758795	0.2319	0.1897
LOC124712543	17778	17240	29895	26365	13410	24723	27139	80378	72005	48988	20303	20090	21765	21011	12100	31885	29822	71854	55500	114416	39874.6	19054	60695	3.185	1.671	0.000300726562214084	0.0149041702492828	0.2436	0.2941
LOC124716304	105	183	140	82	115	208	329	250	262	121	120	213	102	65	104	268	362	223	202	283	194.2	121	268	2.218	1.149	0.000767690501139731	0.0303545271889171	0.1307	0.1523
LOC124716714	2044	1028	724	2038	1200	306	334	463	777	159	2334	1198	527	1624	1083	395	367	414	599	371	891.21	1353	429	0.318	-1.655	7.88980369904136e-06	0.000838443370017357	0.155	0.1547
LOC124716732	87	97	134	156	68	38	48	49	52	10	99	113	98	124	61	49	53	44	40	23	70.46	99	42	0.427	-1.226	0.00113943042086757	0.0396005817969446	0.1492	0.2384
LOC124716906	87	111	131	179	144	136	216	222	245	269	99	129	95	143	130	175	237	198	189	628	202.5	119	285	2.376	1.249	0.000853729846224364	0.0320932729948016	0.1574	0.1496
LOC124717035	14	12	27	28	11	10	19	99	72	92	16	14	20	22	10	13	21	89	55	215	47.45	16	79	4.695	2.231	0.000371523000538859	0.0172524042098969	0.4045	0.2535
LOC124717061	69	74	81	75	58	180	296	137	162	52	79	86	59	60	52	232	325	122	125	121	126.23	67	185	2.763	1.466	0.000107801749347497	0.00661902740993634	0.1563	0.1904
LOC124717082	113	86	358	352	243	199	181	751	951	1844	129	100	261	281	219	257	199	671	733	4307	715.64	198	1233	6.216	2.636	5.33015594925646e-05	0.00391259717242823	0.4509	0.1457
LOC124717096	263	706	1135	674	770	38	87	126	223	19	300	823	826	537	695	49	96	113	172	44	365.48	636	95	0.151	-2.73	1.19472151629449e-11	4.00123096911718e-09	0.1669	0.1285
LOC124717164	39	53	125	201	83	87	81	270	330	872	45	62	91	160	75	112	89	241	254	2037	316.6	87	547	6.29	2.653	0.0001003577468894	0.00623808919624507	0.4899	0.1296
LOC124717267	3	10	6	5	3	24	41	52	94	30	3	12	4	4	3	31	45	46	72	70	29.12	5	53	10.174	3.347	3.37392929729253e-11	1.06539047410506e-08	0.1987	0.2523
LOC124717283	1	0	2	11	8	28	69	35	64	165	1	0	1	9	7	36	76	31	49	385	59.65	4	115	29.089	4.862	1.18141010762956e-08	2.72019677281705e-06	0.5899	0.2489
LOC124717342	819	2351	4542	1831	2373	2973	1980	5354	5466	8188	935	2740	3307	1459	2141	3834	2176	4786	4213	19124	4471.52	2116	6827	3.225	1.689	0.00136363449326468	0.0456466741540616	0.3164	0.2008
LOC124717389	30	15	73	64	19	133	37	695	1041	160	34	17	53	51	17	172	41	621	802	374	218.26	34	402	11.538	3.528	5.0328531105239e-09	1.26416119494341e-06	0.3512	0.1441
LOC124718860	13	12	17	21	19	41	72	64	78	63	15	14	12	17	17	53	79	57	60	147	47.16	15	79	5.171	2.37	5.17739034287058e-08	1.07963241640388e-05	0.1773	0.2534
LOC124718862	338	259	870	976	944	151	152	71	69	2	386	302	633	778	852	195	167	63	53	5	343.39	590	97	0.165	-2.603	3.71215859083047e-06	0.000436455071764451	0.3333	0.1286
LOC124718885	95	158	252	127	192	224	230	297	296	489	108	184	183	101	173	289	253	266	228	1142	292.79	150	436	2.886	1.529	0.000441033176857636	0.0194431743032842	0.2132	0.1311
LOC124718922	3070	537	5455	10697	5332	506	667	1214	2089	523	3506	626	3971	8525	4811	653	733	1085	1610	1222	2674.16	4288	1061	0.247	-2.015	5.41493274911703e-05	0.00391259717242823	0.2773	0.186
LOC124718923	317	703	363	357	592	900	1459	1566	1324	404	362	819	264	285	534	1161	1603	1400	1021	944	839.22	453	1226	2.709	1.438	4.94739842766807e-05	0.00377094120155776	0.1436	0.1523
LOC124718938	405	356	562	244	274	107	23	44	70	24	463	415	409	194	247	138	25	39	54	56	204.08	346	62	0.181	-2.469	8.19303158503107e-09	1.96846489299486e-06	0.1895	0.1484
LOC124718939	149	147	277	227	222	144	117	437	527	1129	170	171	202	181	200	186	129	391	406	2637	467.24	185	750	4.043	2.016	0.000782043454495756	0.0305411457918272	0.3985	0.1315
LOC124718949	10	17	3	21	21	22	108	44	88	14	11	20	2	17	19	28	119	39	68	33	35.6	14	57	4.181	2.064	0.000205396306675613	0.0110733657628238	0.3105	0.2545
LOC124718981	7	12	18	11	16	28	32	159	83	211	8	14	13	9	14	36	35	142	64	493	82.85	12	154	12.969	3.697	5.87330445117819e-08	1.20206964434114e-05	0.4282	0.2311
LOC124719099	172	146	408	378	209	56	83	129	62	30	196	170	297	301	189	72	91	115	48	70	155	231	79	0.344	-1.538	7.26532308511533e-06	0.000779576220744608	0.1267	0.1705
LOC124719691	77	46	119	186	110	23	21	48	67	12	88	54	87	148	99	30	23	43	52	28	65.1	95	35	0.373	-1.422	0.000536822719858747	0.0227184044177636	0.1769	0.2424
LOC124719754	10	50	102	68	23	8	0	19	9	5	11	58	74	54	21	10	0	17	7	12	26.48	44	9	0.21	-2.254	0.000377129567526153	0.0174394810891173	0.3862	0.2515
LOC124719891	31	25	83	84	62	17	9	29	19	8	35	29	60	67	56	22	10	26	15	19	33.89	49	18	0.366	-1.448	0.000759941086257373	0.0302117585802751	0.1777	0.2543
LOC124719980	0	2	42	3	15	12	16	76	120	58	0	2	31	2	14	15	18	68	92	135	37.78	10	66	6.512	2.703	0.000873355001779278	0.0323903338243778	0.6685	0.2546
LOC124719983	3	1	4	8	2	15	24	27	48	82	3	1	3	6	2	19	26	24	37	192	31.41	3	60	17.622	4.139	1.71387684755555e-08	3.78835338383679e-06	0.4369	0.2523
LOC124719995	279	4525	6879	852	540	4896	12705	8237	22375	2619	319	5273	5008	679	487	6314	13961	7363	17246	6117	6276.82	2353	10200	4.335	2.116	0.00144976748488578	0.0476305188830032	0.4884	0.2125
LOC124720038	26	76	184	43	36	67	201	185	228	169	30	89	134	34	32	86	221	165	176	395	136.21	64	209	3.247	1.699	0.000489762209582089	0.0210616807015613	0.2617	0.1838
LOC124720047	16	59	175	141	74	60	367	531	791	347	18	69	127	112	67	77	403	475	610	810	276.91	79	475	6.004	2.586	7.71685840035974e-07	0.000107957872203514	0.2878	0.1327
LOC124720060	241	261	439	411	174	1	0	1	16	0	275	304	320	328	157	1	0	1	12	0	139.8	277	3	0.013	-6.257	2.99115266536175e-24	8.26455481439451e-21	0.2496	0.1798
LOC124720076	50	71	92	83	51	176	146	196	194	30	57	83	67	66	46	227	160	175	150	70	110.12	64	156	2.463	1.3	0.000379652169243162	0.0174829823936476	0.146	0.2033
LOC124720123	30	12	23	85	31	13	59	280	182	213	34	14	17	68	28	17	65	250	140	497	113.04	32	194	5.978	2.58	9.64570534027605e-05	0.00623417166203105	0.4561	0.2027
LOC124720168	28	33	46	51	48	41	86	74	129	206	32	38	33	41	43	53	95	66	99	481	98.2	37	159	4.172	2.061	0.000158952936164084	0.00911528329046618	0.3174	0.2165
LOC124720170	82	19	124	99	91	0	0	10	0	11	94	22	90	79	82	0	0	9	0	26	40.17	73	7	0.086	-3.545	4.80964047997216e-05	0.00371721304787778	0.677	0.2544
LOC124720174	314	131	299	607	700	6	32	49	97	32	359	153	218	484	632	8	35	44	75	75	208.05	369	47	0.128	-2.969	2.92258496971754e-09	7.51172304309728e-07	0.2495	0.1469
LOC124720355	113	176	122	327	214	2034	4741	237	296	226	129	205	89	261	193	2623	5210	212	228	528	967.75	175	1760	10.034	3.327	3.06445994073397e-06	0.000369373130547661	0.508	0.1577
