Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC124708997	610	562	3346	8876	4341	343	314	463	638	3170	697	655	2436	7074	3917	442	345	414	492	7404	2387.49	2956	1819	0.615	-0.701	0.366512871736399	0.810433392744629	0.7161	0.1831
LOC124708998	510	407	891	692	773	439	461	799	936	496	582	474	649	551	697	566	507	714	721	1158	662.13	591	733	1.239	0.309	0.301889583724533	0.77019475515317	0.1056	0.1428
LOC124708999	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC124709000	2	0	2	4	4	2	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC124709001	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC124709003	0	0	0	0	0	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC124709004	21	0	1	25	4	4	1	2	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC124709005	63	75	103	114	97	66	66	100	131	115	72	87	75	91	88	85	73	89	101	269	102.93	83	123	1.474	0.56	0.161195304426145	0.623130641664131	0.1793	0.2106
LOC124709006	13	67	44	59	68	50	75	40	65	48	15	78	32	47	61	64	82	36	50	112	57.82	47	69	1.463	0.549	0.242589063108808	0.724076539349346	0.2445	0.2482
LOC124709007	0	0	8	1	0	2	1	1	6	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC124709008	1	1	0	2	4	1	0	6	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC124709009	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC124709010	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC124709011	0	2	0	1	3	0	0	5	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC124709012	175162	144392	265102	233388	241039	119771	110692	151306	195999	51791	200039	168259	193005	185996	217488	154467	121636	135260	151073	120963	164818.65	192957	136680	0.708	-0.497	0.238973773888494	0.720068503800506	0.2133	0.3678
LOC124709013	2	2	3	1	6	0	0	3	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
