Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC124788222	906	2341	8548	5608	2191	12	27	72	74	12	1035	2728	6223	4469	1977	15	30	64	57	28	1662.67	3286	39	0.012	-6.377	1.11114816754438e-27	6.14020477385023e-24	0.253	0.1741
LOC124720060	241	261	439	411	174	1	0	1	16	0	275	304	320	328	157	1	0	1	12	0	139.8	277	3	0.013	-6.257	2.99115266536175e-24	8.26455481439451e-21	0.2496	0.1798
LOC124712054	42	53	73	96	72	1	0	1	0	0	48	62	53	77	65	1	0	1	0	0	30.65	61	0	0.009	-6.746	8.93311871611853e-24	1.97457656101084e-20	0.1712	0.2535
LOC124722326	124	194	214	249	122	3	6	9	10	0	142	226	156	198	110	4	7	8	8	0	85.82	166	5	0.036	-4.805	1.51848232217268e-23	2.39746666066464e-20	0.1654	0.2247
LOC124789136	37	230	438	142	134	0	1	0	1	0	42	268	319	113	121	0	1	0	1	0	86.51	173	0	0.003	-8.271	1.36308988070035e-23	2.39746666066464e-20	0.3093	0.2239
LOC124802700	178	225	302	553	237	13	1	12	24	4	203	262	220	441	214	17	1	11	18	9	139.63	268	11	0.043	-4.529	7.59983549036441e-21	8.39933818395074e-18	0.1875	0.1799
LOC124789650	28	176	1101	374	128	0	0	2	0	0	32	205	802	298	115	0	0	2	0	0	145.4	290	0	0.002	-9.033	2.40100461682704e-20	2.41235482047022e-17	0.4537	0.1758
LOC124788242	19	35	131	62	54	0	0	0	0	0	22	41	95	49	49	0	0	0	0	0	25.6	51	0	0.002	-8.688	2.66181887442611e-20	2.45153518334645e-17	0.2539	0.2512
LOC124789002	17	141	1150	478	133	0	1	0	0	0	19	164	837	381	120	0	1	0	0	0	152.3	304	0	0.001	-9.772	2.19720069503342e-19	1.7345330058221e-16	0.5156	0.1715
LOC124789001	14	50	75	52	72	0	0	0	1	0	16	58	55	41	65	0	0	0	1	0	23.6	47	0	0.007	-7.115	1.51650000083669e-18	1.11735720061647e-15	0.2427	0.2496
LOC124722943	27	30	49	79	44	0	0	0	0	2	31	35	36	63	40	0	0	0	0	5	20.88	41	1	0.014	-6.112	4.86319845626942e-18	3.3592543336681e-15	0.1925	0.2471
LOC124775105	115	111	138	87	94	7	0	4	6	0	131	129	100	69	85	9	0	4	5	0	53.25	103	4	0.037	-4.762	1.76551532980815e-17	1.14779267206116e-14	0.2171	0.25
LOC124798649	20	15	37	36	30	1	0	0	2	0	23	17	27	29	27	1	0	0	2	0	12.58	25	1	0.031	-4.997	1.98999680570275e-14	9.99702031664855e-12	0.1647	0.2363
LOC124777599	13337	5187	3532	4376	905	181	288	257	357	98	15231	6044	2571	3487	817	233	316	230	275	229	2943.47	5630	257	0.046	-4.454	1.46119803547686e-13	6.4596642752361e-11	0.3266	0.1884
LOC124717096	263	706	1135	674	770	38	87	126	223	19	300	823	826	537	695	49	96	113	172	44	365.48	636	95	0.151	-2.73	1.19472151629449e-11	4.00123096911718e-09	0.1669	0.1285
