Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC124798525	5	2	2	3	4	289	258	105	278	156	6	2	1	2	4	373	284	94	214	364	134.42	3	266	84.983	6.409	4.94401771156464e-31	5.46412837482124e-27	0.1917	0.1853
LOC124712031	8	3	15	1	2	264	190	222	267	144	9	3	11	1	2	340	209	198	206	336	131.6	5	258	47.932	5.583	1.03589520937501e-26	3.81623795133755e-23	0.1929	0.1872
LOC124804691	0	0	0	1	2	78	99	140	90	204	0	0	0	1	2	101	109	125	69	476	88.3	1	176	260.935	8.028	1.51929403152051e-22	2.09890470454559e-19	0.3414	0.226
LOC124805172	0	0	0	0	0	21	19	60	87	18	0	0	0	0	0	27	21	54	67	42	21.07	0	42	340.157	8.41	1.83667485223617e-21	2.25543671854601e-18	0.2315	0.2463
LOC124798514	10	8	13	14	19	107	116	167	207	84	11	9	9	11	17	138	127	149	160	196	82.9	11	154	12.992	3.7	4.55600914025854e-20	3.87330869370287e-17	0.1352	0.229
LOC124805215	126	53	128	142	137	1090	854	2320	3372	3785	144	62	93	113	124	1406	938	2074	2599	8840	1639.31	107	3171	29.556	4.885	2.99704834893632e-17	1.8401876862469e-14	0.2878	0.1737
LOC124803056	0	2	1	2	0	29	37	21	73	23	0	2	1	2	0	37	41	19	56	54	21.15	1	41	39.598	5.307	6.57007375685024e-17	3.8217081663531e-14	0.2093	0.2459
LOC124804688	129	22	79	113	81	1083	746	1780	2305	3292	147	26	58	90	73	1397	820	1591	1777	7689	1366.68	79	2655	33.667	5.073	8.65924716238721e-16	4.78509998193517e-13	0.3359	0.1687
LOC124804687	91	63	83	72	116	368	484	1123	1904	1455	104	73	60	57	105	475	532	1004	1468	3398	727.6	80	1375	17.176	4.102	1.48079801430909e-15	7.79322840673526e-13	0.2436	0.1464
LOC124804689	115	43	64	89	95	705	609	1022	1344	2677	131	50	47	71	86	909	669	914	1036	6252	1016.51	77	1956	25.392	4.666	5.11769325721655e-14	2.45916286429379e-11	0.3369	0.1594
LOC124804802	113	57	119	88	86	418	236	564	542	285	129	66	87	70	78	539	259	504	418	666	281.59	86	477	5.542	2.47	9.58076770200811e-14	4.41194352677473e-11	0.1136	0.1321
LOC124799270	6	7	2	15	3	42	211	87	136	121	7	8	1	12	3	54	232	78	105	283	78.24	6	150	23.794	4.573	2.12519986839399e-13	9.03373420980400e-11	0.3141	0.2339
LOC124805478	4	1	6	6	3	74	25	125	77	150	5	1	4	5	3	95	27	112	59	350	66.19	4	129	34.553	5.111	2.87944224105111e-13	1.17865169067026e-10	0.3714	0.2442
LOC124777333	11	24	59	35	19	141	172	177	249	89	13	28	43	28	17	182	189	158	192	208	105.74	26	186	7.121	2.832	3.58687872546615e-13	1.41579227406614e-10	0.1454	0.2078
LOC124802814	78	84	101	98	42	211	415	878	972	1099	89	98	74	78	38	272	456	785	749	2567	520.56	75	966	12.802	3.678	1.35848645713105e-12	5.17723873248702e-10	0.2577	0.1343
LOC124795391	24	23	20	32	18	137	117	176	319	431	27	27	15	26	16	177	129	157	246	1007	182.56	22	343	15.426	3.947	1.49757327247965e-12	5.51705993581505e-10	0.283	0.1583
LOC124802921	307	71	159	52	133	820	861	2435	3289	1998	351	83	116	41	120	1058	946	2177	2535	4667	1209.26	142	2277	16.025	4.002	2.48083051399747e-12	8.84456091635485e-10	0.3057	0.1651
LOC124789780	3	1	2	2	7	36	31	30	49	12	3	1	1	2	6	46	34	27	38	28	18.71	3	35	12.057	3.592	4.39315969511608e-12	1.51728752970072e-09	0.1757	0.2435
LOC124711568	7	16	10	13	6	37	77	85	177	74	8	19	7	10	5	48	85	76	136	173	56.73	10	104	10.385	3.376	2.84726908900361e-11	9.25529940343175e-09	0.2266	0.2491
LOC124717267	3	10	6	5	3	24	41	52	94	30	3	12	4	4	3	31	45	46	72	70	29.12	5	53	10.174	3.347	3.37392929729253e-11	1.06539047410506e-08	0.1987	0.2523
LOC124804690	6	0	0	4	7	29	121	331	171	1332	7	0	0	3	6	37	133	296	132	3111	372.54	3	742	220.215	7.783	4.5387953582666e-11	1.39341017498785e-08	0.9006	0.1285
LOC124798547	117	35	47	51	41	320	144	429	623	206	134	41	34	41	37	413	158	384	480	481	220.2	57	383	6.714	2.747	2.91332996553635e-10	8.70219534570481e-08	0.1933	0.1438
LOC124798603	2	4	1	3	6	18	19	29	65	35	2	5	1	2	5	23	21	26	50	82	21.73	3	40	12.677	3.664	6.32973403552705e-10	1.84095317264855e-07	0.259	0.246
LOC124777064	228	253	171	458	128	409	1494	1222	2493	1122	260	295	124	365	115	527	1642	1092	1922	2621	896.39	232	1561	6.724	2.749	8.18054465193985e-10	2.31824049982665e-07	0.2096	0.1548
LOC124804692	93	32	110	119	65	325	284	411	506	1201	106	37	80	95	59	419	312	367	390	2805	467.08	75	859	11.34	3.503	2.00129205686352e-09	5.5295699531139e-07	0.3328	0.1314
LOC124803027	211	79	43	64	175	384	329	1566	2009	1170	241	92	31	51	158	495	362	1400	1549	2733	711.11	115	1308	11.411	3.512	2.45884313966155e-09	6.55996732520347e-07	0.3392	0.1455
LOC124805241	38	69	70	124	101	143	129	1180	990	271	43	80	51	99	91	184	142	1055	763	633	314.18	73	555	7.602	2.926	2.49293003672228e-09	6.55996732520347e-07	0.2455	0.1295
LOC124717389	30	15	73	64	19	133	37	695	1041	160	34	17	53	51	17	172	41	621	802	374	218.26	34	402	11.538	3.528	5.0328531105239e-09	1.26416119494341e-06	0.3512	0.1441
LOC124798455	152	116	334	242	203	291	508	986	1183	251	174	135	243	193	183	375	558	881	912	586	424.1	186	662	3.568	1.835	7.35055087053943e-09	1.80529529380448e-06	0.1109	0.1298
LOC124805195	489	119	116	128	18	2462	1525	1612	2297	1951	558	139	84	102	16	3175	1676	1441	1770	4557	1351.91	180	2524	14.033	3.811	1.06906730934955e-08	2.51390040487899e-06	0.4242	0.1684
LOC124717283	1	0	2	11	8	28	69	35	64	165	1	0	1	9	7	36	76	31	49	385	59.65	4	115	29.089	4.862	1.18141010762956e-08	2.72019677281705e-06	0.5899	0.2489
LOC124791362	72	66	126	156	110	201	219	374	537	126	82	77	92	124	99	259	241	334	414	294	201.69	95	308	3.246	1.699	1.2147954529255e-08	2.73998353994543e-06	0.0954	0.1494
LOC124719983	3	1	4	8	2	15	24	27	48	82	3	1	3	6	2	19	26	24	37	192	31.41	3	60	17.622	4.139	1.71387684755555e-08	3.78835338383679e-06	0.4369	0.2523
LOC124718860	13	12	17	21	19	41	72	64	78	63	15	14	12	17	17	53	79	57	60	147	47.16	15	79	5.171	2.37	5.17739034287058e-08	1.07963241640388e-05	0.1773	0.2534
LOC124718981	7	12	18	11	16	28	32	159	83	211	8	14	13	9	14	36	35	142	64	493	82.85	12	154	12.969	3.697	5.87330445117819e-08	1.20206964434114e-05	0.4282	0.2311
LOC124775074	130	91	166	270	145	352	340	818	869	2144	148	106	121	215	131	454	374	731	670	5008	795.75	144	1447	10.009	3.323	7.05053658987244e-08	1.41677327984128e-05	0.3791	0.15
LOC124711857	9	9	22	7	14	46	42	59	56	66	10	10	16	6	13	59	46	53	43	154	41.05	11	71	6.27	2.648	1.0095712800716e-07	1.9924610334556e-05	0.2282	0.2546
LOC124777576	3	2	29	9	7	45	153	34	47	107	3	2	21	7	6	58	168	30	36	250	58.31	8	108	12.834	3.682	1.35145919987102e-07	2.62040825911833e-05	0.4455	0.2489
LOC124777235	19	18	38	24	16	73	64	234	240	17	22	21	28	19	14	94	70	209	185	40	70.23	21	120	5.769	2.528	1.70034333556073e-07	3.24003354217538e-05	0.2329	0.2386
LOC124777671	78	120	412	410	300	745	344	1328	1332	1250	89	140	300	327	271	961	378	1187	1027	2919	759.85	225	1294	5.731	2.519	1.80835395991592e-07	3.38744541779503e-05	0.2485	0.1482
LOC124720432	15	14	18	19	3	41	61	73	70	44	17	16	13	15	3	53	67	65	54	103	40.63	13	68	5.258	2.395	2.03352059170678e-07	3.7457449299239e-05	0.1974	0.2545
LOC124777858	4	2	4	13	0	12	54	33	37	50	5	2	3	10	0	15	59	30	29	117	26.98	4	50	11.673	3.545	2.58422924497802e-07	4.60659703475759e-05	0.4038	0.2503
LOC124797805	391	722	317	411	644	1053	2155	1698	2647	5186	447	841	231	328	581	1358	2368	1518	2040	12112	2182.4	486	3879	7.989	2.998	2.79694561081545e-07	4.82997545167693e-05	0.3508	0.1808
LOC124791378	25	18	17	34	25	52	72	168	155	31	29	21	12	27	23	67	79	150	119	72	59.98	22	97	4.403	2.138	4.16904807384561e-07	6.98126050183965e-05	0.177	0.2465
LOC124795620	131	338	338	341	360	469	1622	649	1181	537	150	394	246	272	325	605	1782	580	910	1254	651.8	277	1026	3.7	1.888	4.37295807508165e-07	7.21342278295559e-05	0.155	0.1422
LOC124798323	127	88	172	169	270	302	325	571	570	197	145	103	125	135	244	389	357	510	439	460	290.76	150	431	2.868	1.52	4.62260766962283e-07	7.51309705362816e-05	0.1005	0.1312
LOC124720521	18	5	7	6	8	101	5	132	206	28	21	6	5	5	7	130	5	118	159	65	52.14	9	95	11.045	3.465	4.7383429641344e-07	7.58958933907441e-05	0.4364	0.2509
LOC124711548	167	108	392	206	183	368	275	943	1117	1684	191	126	285	164	165	475	302	843	861	3933	734.51	186	1283	6.871	2.781	5.50864398881138e-07	8.45576852282547e-05	0.3221	0.1468
LOC124795417	153	143	241	256	336	252	724	1047	2214	179	175	167	175	204	303	325	796	936	1707	418	520.52	205	836	4.086	2.031	6.15999255791968e-07	9.20131780759762e-05	0.1824	0.1345
LOC124795445	21	22	14	46	44	22	348	172	180	96	24	26	10	37	40	28	382	154	139	224	106.37	27	185	6.784	2.762	6.16085339994774e-07	9.20131780759762e-05	0.3099	0.2073
LOC124799061	72	39	74	104	73	156	111	215	355	161	82	45	54	83	66	201	122	192	274	376	149.53	66	233	3.507	1.81	6.28134510018588e-07	9.25619013963392e-05	0.141	0.1748
LOC124712022	1	9	8	10	1	16	235	38	29	28	1	10	6	8	1	21	258	34	22	65	42.69	5	80	14.882	3.895	6.82136874475957e-07	9.66535479065164e-05	0.5436	0.2542
LOC124777258	13737	39913	18041	16414	6789	92694	110897	209454	180677	31142	15688	46510	13135	13081	6126	119546	121861	187242	139263	72735	73518.72	18908	128129	6.777	2.761	6.81391372647537e-07	9.66535479065164e-05	0.3253	0.3249
LOC124798509	5	50	16	64	28	32	117	939	319	152	6	58	12	51	25	41	129	839	246	355	176.2	30	322	10.577	3.403	6.66875607228633e-07	9.66535479065164e-05	0.4575	0.1599
LOC124720047	16	59	175	141	74	60	367	531	791	347	18	69	127	112	67	77	403	475	610	810	276.91	79	475	6.004	2.586	7.71685840035974e-07	0.000107957872203514	0.2878	0.1327
LOC124805193	182	126	495	448	314	718	516	1198	1126	2923	208	147	360	357	283	926	567	1071	868	6827	1161.42	271	2052	7.556	2.918	8.29471828527314e-07	0.000114591533111048	0.3629	0.1638
LOC124789268	38	38	118	98	71	112	89	388	422	150	43	44	86	78	64	144	98	347	325	350	158.05	63	253	3.98	1.993	9.11900849183184e-07	0.000122906441282592	0.1764	0.1695
LOC124800984	32	36	66	108	61	174	170	161	240	64	37	42	48	86	55	224	187	144	185	149	115.73	54	178	3.307	1.725	1.06053518886323e-06	0.000141217288039957	0.1322	0.1989
LOC124789846	16	3	9	26	55	211	274	4	225	561	18	3	7	21	50	272	301	4	173	1310	215.92	20	412	20.686	4.371	1.37964366852396e-06	0.000181521688387224	0.7357	0.146
LOC124805313	69	225	489	451	239	700	375	3087	1764	369	79	262	356	359	216	903	412	2760	1360	862	756.81	254	1259	4.946	2.306	1.42432432839961e-06	0.000185195676205559	0.2481	0.1482
LOC124711866	8	22	7	3	10	58	315	13	315	14	9	26	5	2	9	75	346	12	243	33	75.93	10	142	13.903	3.797	1.53564989192415e-06	0.000195080489718916	0.5745	0.234
LOC124787797	39	3	110	58	24	97	65	270	361	880	45	3	80	46	22	125	71	241	278	2055	296.75	39	554	14.025	3.81	2.24421954915162e-06	0.000275590160635818	0.6165	0.131
LOC124720355	113	176	122	327	214	2034	4741	237	296	226	129	205	89	261	193	2623	5210	212	228	528	967.75	175	1760	10.034	3.327	3.06445994073397e-06	0.000369373130547661	0.508	0.1577
LOC124777389	725	437	127	931	111	959	11102	1366	5026	986	828	509	92	742	100	1237	12200	1221	3874	2303	2310.62	454	4167	9.172	3.197	4.53112451987126e-06	0.000527136717827549	0.4924	0.1823
LOC124789965	17	2	54	70	49	209	65	405	128	104	19	2	39	56	44	270	71	362	99	243	120.56	32	209	6.413	2.681	4.71861897472035e-06	0.00054323100946468	0.3533	0.1953
